"id","course_id","course_academia_panel_name","status","added_date","modified_date"
"1","9","Industry Academia Panel","A","2022-12-14 18:20:00",
"2","11","Industry Academia Panel","P","2022-12-25 13:28:08","2023-06-27 14:06:14"
"3","14","Industry Academia Panel","A","2022-12-28 14:00:44",
"4","16","Industry Academia Panel","A","2023-01-11 13:19:46",
"5","24","Industry Academia Panel","A","2023-04-19 17:10:22","2024-10-18 17:10:20"
"6","35","Industry Academia Panel","A","2023-09-01 17:26:56",
"7","37","Industry Academia Panel","A","2023-10-13 19:14:22",
"8","49","Industry Academia Panel","A","2024-05-21 16:40:35","2024-05-21 16:05:16"
"9","49","Industry Academia Panel","D","2024-05-21 16:40:38","2024-05-21 16:05:45"
"10","82","Guest Lecture","A","2024-09-27 15:00:23","2025-05-02 20:05:23"
"11","83","Industry Academia Panel","A","2024-09-27 15:06:13",
"12","87","Industry Academia Panel","A","2024-10-10 16:16:13",
"13","95","Industry Academia Panel","A","2024-10-18 14:43:42",
"14","100","Industry Academia Panel","A","2024-11-22 13:39:00","2024-11-22 17:11:43"
"15","101","Industry Academia Panel","A","2024-11-22 15:57:29",
"16","102","Guest Lecture","A","2024-12-06 11:31:46","2025-09-12 18:09:16"
"17","29","Academia Panel","A","2025-11-21 12:40:18",
