"id","course_academia_panel_id","course_id","academia_panel_id","status","added_date","modified_date"
"1","1","9","2","A","1671022200",
"3","3","14","2","A","1672216244",
"4","3","14","4","A","1672216244",
"5","3","14","6","A","1672216244",
"6","4","16","7","A","1673423386",
"7","4","16","8","A","1673423386",
"8","4","16","9","A","1673423386",
"11","2","11","3","A","1687856294",
"12","6","35","12","A","1693569416",
"13","6","35","13","A","1693569416",
"14","6","35","14","A","1693569416",
"15","6","35","15","A","1693569416",
"16","6","35","16","A","1693569416",
"17","6","35","17","A","1693569416",
"18","6","35","18","A","1693569416",
"19","7","37","2","A","1697204662",
"22","9","49","12","A","1716290448",
"23","9","49","19","A","1716290448",
"24","8","49","12","A","1716290476",
"25","8","49","19","A","1716290476",
"26","8","49","20","A","1716290476",
"27","8","49","21","A","1716290476",
"30","11","83","12","A","1727429773",
"31","11","83","13","A","1727429773",
"32","11","83","14","A","1727429773",
"33","11","83","15","A","1727429773",
"34","11","83","16","A","1727429773",
"35","11","83","17","A","1727429773",
"36","11","83","18","A","1727429773",
"37","12","87","12","A","1728557173",
"38","12","87","24","A","1728557173",
"39","13","95","12","A","1729242822",
"40","13","95","13","A","1729242822",
"41","13","95","14","A","1729242822",
"42","13","95","15","A","1729242822",
"43","13","95","16","A","1729242822",
"44","13","95","17","A","1729242822",
"45","13","95","18","A","1729242822",
"46","5","24","11","A","1729251080",
"47","5","24","25","A","1729251080",
"53","15","101","25","A","1732271249",
"54","15","101","26","A","1732271249",
"55","14","100","25","A","1732277083",
"56","14","100","26","A","1732277083",
"59","10","82","22","A","1746196343",
"60","10","82","23","A","1746196343",
"61","10","82","27","A","1746196343",
"62","16","102","22","A","1757682316",
"63","16","102","23","A","1757682316",
"64","16","102","27","A","1757682316",
"65","17","29","2","A","1763709018",
"66","17","29","3","A","1763709018",
"67","17","29","4","A","1763709018",
"68","17","29","5","A","1763709018",
"69","17","29","6","A","1763709018",
"70","17","29","7","A","1763709018",
