"id","course_id","content_title","content_details","status","added_date","modified_date","show_more"
"1","2","Course benefits","<ul>
	<li>Work as a content marketer with startups, SMEs and large companies, law firm partners and other successful professionals and earn a handsome income</li>
	<li>You don&rsquo;t have to be a software engineer, data scientist or lawyer to benefit from international remote work - content marketers are always in great demand</li>
	<li>Escape office cubicles, exhausting daily commutes, and cramped living spaces. Travel the world while you work, or live wherever you wish</li>
	<li>Work flexible hours and over USD 2,000 per month</li>
	<li>Get full-time or part time remote jobs or freelance assignments, whichever you prefer&nbsp;</li>
	<li>Learn the most in-demand skills that make you an invaluable resource for fast-growing startups, influencers, busy entrepreneurs and executives, so that they are delighted to pay you USD 10-20 per hour as you make their lives easier and help them grow faster</li>
	<li>Master all the skills of an effective content marketer in just <strong>three months studying part time</strong>.</li>
</ul>
","A","2022-12-09 19:04:31","2022-12-09 19:12:45","N"
"2","2","Prior requirements","<ul>
	<li><strong>English communication skills</strong></li>
	<li><strong>Basic computer and internet skills</strong></li>
</ul>

<p>&nbsp;</p>
","A","2022-12-09 19:05:07","2022-12-09 19:12:02","N"
"3","2","Who Should Take This Course?","<ul>
	<li>Copywriters and content professionals looking to get into the international job market</li>
	<li>Anyone looking for high income remote jobs and good communication skills</li>
	<li>College students seeking financial independence</li>
	<li>Anyone with good English communication skills earning less than INR 50,000 per month</li>
	<li>Students from small towns or rural areas who cannot find good job opportunities locally</li>
	<li>Young parents who want to work from home</li>
	<li>If you are looking to take your own business to next level with content marketing, this course will help</li>
</ul>
","A","2022-12-09 19:05:51","2022-12-09 19:12:22","N"
"4","2","The Content Marketing Industry At A Glance","<ul>
	<li>According to a new report by <a href=""https://www.statista.com/aboutus/our-research-commitment"">Statista Research</a>, the global content marketing industry revenue was estimated at roughly USD 66 billion in 2021. The projected revenue for 2022 is USD 76 billion, which is expected to reach USD 137 billion in 2026</li>
	<li>During a 2021 survey of global small and medium businesses (SMB), close to 70 percent indicated <strong>blogging</strong> as a popular part of their content marketing strategy, while 54 percent felt that SEO was the most popular content marketing tool</li>
	<li>According to a 2022 global survey on <a href=""https://blog.hubspot.com/marketing/state-of-content-marketing-infographic"">the State of Content Marketing</a> by Hubspot, roughly 49 percent of marketing teams allocate between 30 and 50 percent of their budgets to content, while five percent spend more than 71 percent on content</li>
	<li>From a study of 1,000 small business owners, email marketing is ranked as the second most effective medium for building brand awareness</li>
	<li>In 2021, 73 percent of all marketers ranked &ldquo;increased acquisition of new customers&rdquo; as the top outcome for social media marketing</li>
</ul>
","A","2022-12-09 19:07:42","2022-12-09 19:12:31","N"
"5","3","Course benefits","<ul>
	<li><span style=""color:#000000"">Earn a good living by working for startups, top executives, law firm partners and other successful professionals</span></li>
	<li><span style=""color:#000000"">You need not be a software engineer, data scientist, or lawyer to perform international remote work; a skilled virtual assistant is always in very high demand</span></li>
	<li><span style=""color:#000000"">All the skills to be a virtual assistant can be learned in just <strong>six months</strong>, provided your English communication skills are up to the mark. Knowing a foreign language can be a bonus</span></li>
	<li><span style=""color:#000000"">At the end of the course, you will be awarded a recognised certificate after clearing the required tests</span></li>
	<li><span style=""color:#000000"">Escape office cubicles, exhausting daily commutes, and cramped living spaces. Travel the world while you work, or live wherever you wish</span></li>
	<li><span style=""color:#000000"">Get full-time or part-time remote jobs or freelance assignments, whichever you prefer</span></li>
	<li><span style=""color:#000000"">Learn the most in-demand skills that make you an invaluable resource for fast-growing startups, influencers, busy entrepreneurs and executives, so that they are delighted to pay you USD 10-20 per hour as you make their lives easier and help them grow faster</span></li>
	<li><span style=""color:#000000"">Work flexible hours and earn more than USD 2,000 per month, which means more time for your family and loved ones</span></li>
	<li><span style=""color:#000000"">Master all the skills to be an effective virtual assistant in just <strong>six months studying part time</strong></span></li>
</ul>
","A","2022-12-09 19:07:55","2024-10-25 17:10:08","N"
"6","3","Prior requirements","<ul>
	<li>English communication skills</li>
	<li>Basic computer and internet skills</li>
</ul>
","P","2022-12-09 19:08:23","2024-10-25 17:10:40","N"
"7","3","Who should take this course?","<ul>
	<li><span style=""color:#000000"">College students seeking financial independence</span></li>
	<li><span style=""color:#000000"">Graduates struggling to find a well paid job&nbsp;</span></li>
	<li><span style=""color:#000000"">Anyone with good English communication skills earning less than INR 50,000 per month</span></li>
	<li><span style=""color:#000000"">Residents of small towns or villages with few job opportunities locally</span></li>
	<li><span style=""color:#000000"">Young parents who want to work part-time from home without having to commute</span></li>
	<li><span style=""color:#000000"">Any professional who wants to escape the cubicle lifestyle and work as a digital nomad</span></li>
</ul>
","A","2022-12-09 19:08:40","2024-10-25 17:10:02","N"
"8","2","What You Will Learn","<p>&nbsp;</p>

<ul>
	<li>Importance of content creation&nbsp;</li>
	<li>Popular content-creation types and formats</li>
	<li>Structuring an article</li>
	<li>Writing marketing articles</li>
	<li>Writing blog posts</li>
	<li>Writing a whitepaper</li>
	<li>A guide to newsletter writing</li>
	<li>SEO techniques</li>
	<li>Onboarding content preparation techniques</li>
	<li>Writing a high-conversion landing page</li>
	<li>Writing an email funnel</li>
	<li>Creating brochures or write website content</li>
	<li>Drawing, engaging and retaining clients</li>
	<li>Strategies to plan, create, and share content with your target audience</li>
</ul>

<p>&nbsp;</p>
","A","2022-12-09 19:08:49",\N,"N"
"9","3","The Market at a glance","<ul>
	<li>According to a <a href=""https://www.technavio.com/report/virtual-assistant-market-industry-analysis?utm_source=prnewswire&amp;utm_medium=pressrelease&amp;utm_campaign=T41_report_wk26_2022_008&amp;utm_content=IRTNTR70433"">Technavio report</a> the virtual assistant market&rsquo;s growth momentum will accelerate at a CAGR of 11.79 percent and market share is expected to increase by USD 4.12 billion from 2020 to 2025</li>
	<li>India and the Philippines are the top hiring destinations for virtual assistants when cost effectiveness is the most important parameter</li>
	<li>After the pandemic, freelancing has become the preferred way of working for huge numbers of people. In the U.S. freelancers are expected to number over 86.5 million by 2027. What makes this mode of work so popular is its flexibility and the option to work from anywhere in the world</li>
	<li>Virtual assistants don&rsquo;t feel burned out or stressed, and 93.1 percent of the virtual assistants interviewed consider working in the industry permanently</li>
	<li>Finding a job that promotes work-life balance is very important for employees when looking for a new job. Most of them find that balance while working from home. Over 50 percent of employees in the U.S. work from home at least 2.5 days per week</li>
	<li>Cold calling and email communication are the most in-demand services at the moment, but virtual assistant statistics show that in the past year, social media marketing services have become highly in demand among business owners</li>
	<li>The U.S., China, UK, Japan and Germany are the key markets for virtual assistants</li>
</ul>
","P","2022-12-09 19:09:25","2024-10-20 11:10:42","N"
"10","2","The Tools You Will Get","<section class=""training"">
<div class=""row "">
<div class=""col-12 col-md-6 mb-2 mt-2"">
<div class=""traning_box""><img src=""https://lawsikho.com//images/course-details/online24-7access.png"" />
<h5>Online 24/7 access</h5>
</div>

<div>
<p>Access to basic study material through an online learning management system, Android and iOS app</p>
</div>
</div>

<div class=""col-12 col-md-6 mb-2 mt-2"">
<div class=""traning_box""><img src="" https://lawsikho.com//images/course-details/hard-copy-study-material.png "" />
<h5>Hard Copy Study Material</h5>
</div>

<div>
<p>Hard copy study material modules to be couriered to your address</p>
</div>
</div>

<div class=""col-12 col-md-6 mb-2 mt-2"">
<div class=""traning_box""><img src="" https://lawsikho.com//images/course-details/practical-exercises.png "" />
<h5>Practical Exercises</h5>
</div>

<div>
<p>Two practical exercises (in one&nbsp;assignment) every week, followed by written feedback on your submissions</p>
</div>
</div>

<div class=""col-12 col-md-6 mb-2 mt-2"">
<div class=""traning_box""><img src="" https://lawsikho.com//images/course-details/live_online_class.png"" />
<h5>Live Online Classes</h5>
</div>

<div>
<p>Based on the exercises, there will be a live video-based online class, where you can ask questions, share your screen, and get personal feedback</p>
</div>
</div>

<div class=""col-12 col-md-6 mb-2 mt-2"">
<div class=""traning_box""><img src="" https://lawsikho.com//images/course-details/class-timings.png "" />
<h5>Convenient Class timings</h5>
</div>

<div>
<p>Classes are held after regular work hours, typically on Sunday afternoons or from 8.00-9.00 pm on other days</p>
</div>
</div>

<div class=""col-12 col-md-6 mb-2 mt-2"">
<div class=""traning_box""><img src="" https://lawsikho.com//images/course-details/live-doubt-clearing.png "" />
<h5>Live Doubt Clearing</h5>
</div>

<div>
<p>You can ask questions, get your doubt cleared live as well as through online forums</p>
</div>
</div>

<div class=""col-12 col-md-6 mb-2 mt-2"">
<div class=""traning_box""><img src="" https://lawsikho.com//images/course-details/class-timings.png "" />
<h5>Placement</h5>
</div>

<div>
<p>Placement assistance for securing job and internship opportunities and assistance for securing freelancing opportunities</p>
</div>
</div>
</div>
</section>
","A","2022-12-09 19:11:26","2022-12-13 17:12:37","N"
