"id","course_id","course_courseplan_name","status","added_date","modified_date"
"1","2","Course Plan","A","2022-12-09 19:34:42",
"2","3","Course Plan","A","2022-12-09 19:34:54",
"3","4","Course Plan","A","2022-12-13 14:04:03","2022-12-13 14:12:54"
"4","6","Course Plan","A","2022-12-14 16:28:34",
"5","7","Course Plan","A","2022-12-14 17:12:35",
"6","8","Course Plan","A","2022-12-14 17:55:03",
"7","9","Course Plan","A","2022-12-14 18:54:32",
"8","10","Course Plan","A","2022-12-14 19:22:24",
"9","11","Course Plan","A","2022-12-25 13:41:21",
"10","12","Course Plan","A","2022-12-27 19:21:20",
"11","13","Course Plan","A","2022-12-28 13:07:14",
"12","14","Course Plan","A","2022-12-28 14:25:12",
"13","15","Course Plan","A","2023-01-04 16:04:06",
"14","16","Course Plan","A","2023-01-11 13:50:14",
"15","17","Course Plan","A","2023-01-28 14:03:50",
"16","18","Course Plan","A","2023-02-19 16:22:40",
"17","19","Course Plan","A","2023-03-16 17:16:53",
"18","20","Course Plan","A","2023-03-23 12:48:54",
"19","21","Course Plan","A","2023-04-10 19:01:32",
"20","22","Course Plan","A","2023-04-19 15:43:43",
"21","23","Course Plan","A","2023-04-19 16:27:54",
"22","24","Course Plan","A","2023-04-19 17:25:51",
"23","25","Course Plan","A","2023-04-20 13:00:37",
"24","26","Course Plan","A","2023-04-28 20:44:22",
"25","27","Course Plan","A","2023-05-20 14:08:30",
"26","28","Course Plan","A","2023-05-21 12:59:27",
"27","29","Course Plan","A","2023-06-08 20:13:33","2025-11-21 12:11:00"
"28","30","Course Plan","A","2023-08-03 17:14:21",
"29","31","Course Plan","A","2023-08-03 20:23:02",
"30","33","Course Plan","A","2023-08-10 17:28:55",
"31","34","Course Plan","A","2023-08-19 13:48:04",
"32","35","Course Plan","A","2023-08-31 22:03:48",
"33","36","Course Plan","A","2023-09-01 17:16:04",
"34","37","Course Plan","A","2023-10-13 19:37:38",
"35","38","Course Plan","A","2023-10-13 20:17:54",
"36","40","Course Plan","A","2023-10-28 18:12:39",
"37","39","Course Plan","A","2023-10-28 18:13:02",
"38","42","Course Plan","D","2023-12-22 21:04:35","2023-12-22 21:12:03"
"39","43","Course Plan","D","2023-12-22 21:24:21","2023-12-22 21:12:55"
"40","41","Course Plan","A","2023-12-22 21:24:42",
"41","42","Course Plan","A","2023-12-22 21:45:48",
"42","43","Course Plan","A","2023-12-22 22:58:24",
"43","44","Course Plan","A","2024-02-24 12:19:06",
"44","45","Course Plan","A","2024-03-17 11:06:50",
"45","46","Course Plan","A","2024-04-14 10:28:21",
"46","47","Course Plan","A","2024-04-20 23:53:15",
"47","48","Course Plan","A","2024-05-18 18:58:34",
"48","49","Course Plan","A","2024-05-21 16:42:43",
"49","50","Course Plan","A","2024-05-21 18:17:22",
"50","51","Course Plan","A","2024-06-02 13:44:59",
"51","52","Course Plan","A","2024-06-02 14:02:28",
"52","52","Course Plan","D","2024-06-02 14:02:31","2024-06-02 14:06:27"
"53","54","Course Plan","A","2024-06-28 14:20:18",
"54","55","Course Plan","A","2024-06-29 15:40:51",
"55","56","Course Plan","A","2024-07-13 13:06:44","2024-07-25 17:07:13"
"56","57","Course Plan","A","2024-07-14 14:03:17",
"57","57","Course Plan","D","2024-07-14 14:03:19","2024-07-14 14:07:40"
"58","57","Course Plan","D","2024-07-14 14:03:22","2024-07-14 14:07:51"
"59","58","Course Plan","A","2024-07-25 17:40:29",
"60","59","Course Plan","A","2024-07-25 17:41:34",
"61","62","Course Plan","P","2024-08-14 19:30:14",
"62","63","Course Plan","A","2024-08-14 19:32:30","2024-08-16 16:08:58"
"63","60","Course Plan","A","2024-08-14 20:29:49",
"64","60","Course Plan","D","2024-08-14 20:29:52","2024-08-14 20:08:44"
"65","61","Course Plan","A","2024-08-14 22:37:42",
"66","61","Course Plan","D","2024-08-14 22:37:44","2024-08-14 22:08:12"
"67","65","Course Plan","A","2024-08-16 18:29:33",
"68","64","Course Plan","A","2024-08-16 18:48:27","2024-08-16 18:08:43"
"69","66","Course Plan","A","2024-08-16 18:54:06",
"70","68","Course Plan","A","2024-08-16 22:18:07","2024-08-16 22:08:50"
"71","69","Course Plan","A","2024-08-17 11:05:53",
"72","71","Course Plan","A","2024-08-27 12:54:54",
"73","73","Course Plan","A","2024-08-27 13:36:54",
"74","72","Course Plan","A","2024-08-27 13:58:22",
"75","70","Course Plan","A","2024-08-27 18:19:39","2024-10-22 15:10:48"
"76","74","Course Plan","A","2024-08-28 15:21:22",
"77","75","Course plan","A","2024-08-29 17:53:14",
"78","76","Course Plan","A","2024-09-13 17:20:22",
"79","77","Course Plan","A","2024-09-13 17:43:01",
"80","79","Course Plan","A","2024-09-13 18:50:22",
"81","78","Course Plan","A","2024-09-16 17:28:16",
"82","80","Course Plan","A","2024-09-18 19:14:00",
"83","81","Course Plan","A","2024-09-22 07:48:50",
"84","82","Course Plan","A","2024-09-27 14:49:20",
"85","83","Course Plan","A","2024-09-27 15:27:41",
"86","84","Course Plan","A","2024-09-27 15:42:27",
"87","85","Course Plan","A","2024-09-27 16:09:21",
"88","86","Course Plan","A","2024-09-27 18:52:04",
"89","87","Course Plan","A","2024-10-10 16:36:52",
"90","88","Course Plan","A","2024-10-13 21:17:39",
"91","90","Course Plan","A","2024-10-17 15:02:29",
"92","89","Course Plan","A","2024-10-17 15:04:17",
"93","91","Course Plan","A","2024-10-17 17:35:30",
"94","92","Course Plan","A","2024-10-17 18:24:11",
"95","93","Course Plan","A","2024-10-17 20:10:23",
"96","94","Course Plan","A","2024-10-17 21:41:53",
"97","95","Course Plan","A","2024-10-18 15:05:10",
"98","96","Course Plan","A","2024-10-20 12:05:10",
"99","97","Course Plan","A","2024-11-08 19:03:24",
"100","98","Course Plan","A","2024-11-08 19:52:15",
"101","99","Course Plan","A","2024-11-09 14:00:38",
"102","100","Course Plan","A","2024-11-22 14:20:10",
"103","101","Course Plan","A","2024-11-22 16:13:50",
"104","102","Course Plan","A","2024-12-06 12:17:53",
"105","103","Course Plan","A","2024-12-06 12:37:07",
"106","104","Course Plan","A","2024-12-06 13:26:07",
"107","105","Course Plan","A","2024-12-22 11:38:12",
"108","106","Course Plan","A","2024-12-22 14:56:33",
"109","107","Course Plan","A","2025-01-08 14:43:25",
"110","108","Course Plan","A","2025-01-08 15:22:45",
"111","109","Course Plan","A","2025-01-08 16:37:45",
"112","110","Course Plan","A","2025-02-05 17:52:25",
"113","111","Course Plan","A","2025-02-19 20:47:15",
"114","112","Course Plan","A","2025-03-16 08:43:45",
"115","113","Course Plan","A","2025-03-30 14:32:15",
"116","114","Course Plan","A","2025-04-12 13:20:09",
"117","115","Course Plan","A","2025-04-12 14:49:16",
"118","116","Course Plan","A","2025-04-12 16:10:25",
"119","117","Course Plan","A","2025-04-13 12:28:12",
"120","118","Course Plan","A","2025-04-20 10:43:34",
"121","119","Course Plan","A","2025-04-20 14:13:38",
"122","120","Course Plan","A","2025-06-01 12:07:08",
"123","121","Course Plan","A","2025-07-14 17:04:53",
"124","122","Course Plan","A","2025-07-17 19:16:22",
"125","123","Course Plan","A","2025-07-18 20:05:45",
"126","124","Course Plan","A","2025-07-20 13:52:02",
"127","125","Course Plan","A","2025-08-10 15:43:44",
"128","126","Course Plan","A","2025-08-17 14:08:16",
"129","128","Course Plan","A","2025-08-17 17:39:17",
"130","129","Course Plan","A","2025-08-31 12:49:44",
"131","130","Course Plan","A","2025-10-31 13:26:03",
"132","131","Course Plan","A","2025-10-31 16:01:54",
"133","132","Course Plan","A","2025-11-13 13:32:13",
"134","133","Course Plan","A","2025-11-19 19:18:50",
"135","134","Course Plan","A","2025-11-28 13:14:52",
"136","135","Course Plan","A","2025-11-28 14:28:51",
"137","136","Course Plan","A","2025-12-18 14:46:18",
"138","137","Course Plan","A","2026-02-01 14:20:05",
"139","138","Course Plan","A","2026-08-10 16:50:03",
"140","139","Course Plan","A","2026-08-10 17:52:24",
"141","141","Course Plan","A","2026-08-16 10:09:01",
"142","140","Course Plan","A","2026-08-16 10:09:11",
"143","142","Course Plan","A","2026-08-21 18:11:34",
