"id","course_id","course_faculty_name","status","added_date","modified_date"
"1","6","Faculty","A","2022-12-14 16:27:19","2024-09-15 13:09:19"
"2","8","Online Faculty","A","2022-12-14 17:41:58","2024-11-08 11:11:21"
"3","9","Here are some of our faculty members","A","2022-12-14 18:20:29","2022-12-14 18:12:58"
"4","10","Here are some of our faculty members","A","2022-12-14 19:15:33","2022-12-14 19:12:43"
"5","11","Here are some of our faculty members","A","2022-12-25 13:28:44","2023-06-21 14:06:22"
"6","14","Here are some of our faculty members","A","2022-12-28 14:01:25","2024-10-20 15:10:51"
"7","16","Online Faculty","A","2023-01-11 13:20:42","2023-01-12 00:01:32"
"8","17","Online Faculty","A","2023-01-28 13:54:50",
"9","19","Here are some of our faculty members","A","2023-03-16 17:14:45","2023-03-16 17:03:58"
"10","20","Online Faculty","A","2023-03-23 14:33:06","2023-07-23 12:07:20"
"11","22","Online Faculty","A","2023-04-19 14:46:06","2023-04-19 14:04:52"
"12","23","Online Faculty and Guest Faculty","A","2023-04-19 16:27:27",
"13","24","Online Faculty and Guest Faculty","A","2023-04-19 17:04:11","2024-05-10 16:05:54"
"14","25","Online Faculty","A","2023-04-20 12:30:19","2025-06-11 13:06:19"
"15","26","Online Faculty","D","2023-04-28 20:09:53","2025-06-23 21:06:45"
"16","27","Online Faculty","A","2023-05-20 13:33:56",
"17","30","Online Faculty","A","2023-08-03 17:03:07","2025-11-07 19:11:29"
"18","31","Online Faculty","A","2023-08-03 20:08:11","2026-03-15 16:03:49"
"19","34","Here are some of our faculty members","A","2023-08-19 13:40:35","2024-11-06 14:11:23"
"20","35","Industry Academia Panel","D","2023-08-31 22:00:58","2023-09-01 17:09:00"
"21","36","Here are some of our faculty members","A","2023-09-01 16:15:04","2024-05-14 15:05:51"
"22","37","Here are some of our faculty members","A","2023-10-13 19:16:16","2025-04-16 14:04:59"
"23","39","Online Faculty","A","2023-10-28 16:57:56","2023-10-29 16:10:34"
"24","40","Online Faculty","A","2023-10-28 17:40:12","2025-01-05 18:01:56"
"25","44","Faculty","A","2024-01-28 11:47:19","2024-06-08 14:06:39"
"26","46","Faculty","A","2024-04-14 10:06:42",
"27","49","Here are some of our faculty members","A","2024-05-21 16:41:06","2024-05-21 16:05:02"
"28","50","Online Faculty","A","2024-05-21 18:04:51",
"29","55","Faculty","A","2024-06-29 15:14:11","2025-01-09 18:01:20"
"30","56","Our Data Analytics Trainers","A","2024-07-11 17:34:06","2024-07-13 20:07:10"
"31","58","Faculty","A","2024-07-25 14:11:03","2024-07-25 19:07:10"
"32","62","Our Data Analytics Trainers","P","2024-08-14 19:30:14",
"33","63","Our Data Analytics Trainers","P","2024-08-14 19:32:30",
"34","61","Our Data Science Trainers","A","2024-08-14 22:06:32",
"35","61","Our Data Science Trainers","A","2024-08-14 22:12:55",
"36","61","Our Data Science Trainers","A","2024-08-14 22:18:21","2024-12-15 12:12:54"
"37","61","Our Data Science Trainers","A","2024-08-14 22:05:41",
"38","60","Our Data Analytics Trainers","A","2024-08-14 22:44:54","2024-12-15 12:12:05"
"39","65","Our Data Analytics Trainers","A","2024-08-16 17:34:47",
"40","66","Our Data Analytics Trainers","A","2024-08-16 18:44:00",
"41","64","Our Data Analytics Trainers","A","2024-08-16 18:48:11",
"42","68","Faculty","P","2024-08-16 22:18:07",
"43","69","Faculty","A","2024-08-17 10:59:15",
"44","70","Our Data Analytics Trainers","A","2024-08-23 19:11:51","2024-12-15 12:12:13"
"45","71","Our Data Analytics Trainers","A","2024-08-27 12:51:56","2024-12-15 12:12:34"
"46","73","Our Data Analytics Trainers","A","2024-08-27 13:22:29","2024-12-15 12:12:47"
"47","72","Our Data Analytics Trainers","A","2024-08-27 13:42:42","2024-12-15 12:12:28"
"48","74","Our Data Analytics Trainers","A","2024-08-28 15:05:42",
"49","76","Faculty","A","2024-09-13 16:59:14",
"50","78","Faculty","A","2024-09-13 18:03:36","2024-11-30 19:11:38"
"51","80","Our Business Analytics Trainers","A","2024-09-18 19:14:17",
"52","81","Faculty","A","2024-09-22 07:46:49","2025-03-26 17:03:36"
"53","82","Faculty","A","2024-09-27 14:37:18","2025-09-12 18:09:12"
"54","85","Faculty","A","2024-09-27 15:55:04",
"55","86","Faculty","A","2024-09-27 18:48:13",
"56","87","Here are some of our faculty members","A","2024-10-10 16:09:41","2024-10-10 16:10:33"
"57","88","Faculty","A","2024-10-13 20:48:24",
"58","52","Faculty","A","2024-10-15 14:15:09",
"59","90","Faculty","A","2024-10-17 14:57:24",
"60","92","Regular Faculty","A","2024-10-17 18:12:41","2025-03-25 17:03:37"
"61","94","Here are some of our faculty members","A","2024-10-17 20:23:46",
"62","28","Online Faculty","A","2024-10-19 12:03:00","2024-10-19 12:10:05"
"63","33","Online Faculty","A","2024-10-20 11:12:32","2024-10-25 14:10:32"
"64","13","Online Faculty","A","2024-10-20 13:04:34",
"65","12","Online Faculty","A","2024-10-21 17:45:34",
"66","97","Mentors","A","2024-11-08 19:01:02",
"67","100","Online faculty","A","2024-11-22 13:37:54","2024-11-22 15:11:09"
"68","101","Online faculty","A","2024-11-22 15:56:47",
"69","102","Faculty","A","2024-12-06 11:31:02","2025-09-12 18:09:09"
"70","103","Faculty","A","2024-12-06 12:34:10",
"71","3","Online Faculty","A","2025-01-05 18:53:39","2025-01-05 19:01:10"
"72","111","Our Data Analytics Trainers","A","2025-02-19 20:33:57",
"73","130","FACULTY","A","2025-10-31 11:58:46",
"74","131","Faculty","A","2025-10-31 15:49:54","2025-10-31 16:10:46"
"75","132","Faculty","A","2025-11-13 13:22:58","2025-11-13 13:11:39"
"76","133","Faculty","A","2025-11-19 18:36:35","2025-11-19 19:11:12"
"77","29","Faculty(Course)","A","2025-11-21 12:40:46",
"78","134","Faculty","A","2025-11-28 13:07:58",
"79","136","Faculty","A","2025-12-18 14:31:49","2025-12-18 14:12:07"
"80","41","You get to learn from the Best","A","2026-03-13 18:37:13",
"81","138","FACULTY","A","2026-08-10 16:40:09","2026-08-10 16:08:03"
"82","139","Faculty","A","2026-08-10 17:47:32",
"83","140","Faculty","A","2026-08-16 09:57:59",
"84","141","Faculty","A","2026-08-16 10:05:40",
"85","142","Faculty","A","2026-08-21 16:38:40","2026-08-21 18:08:57"
