"id","course_faculty_id","course_id","faculty_id","status","added_date","modified_date"
"5","3","9","6","A","1671022378",
"6","3","9","7","A","1671022378",
"7","3","9","8","A","1671022378",
"8","4","10","9","A","1671025723",
"9","4","10","10","A","1671025723",
"10","4","10","11","A","1671025723",
"25","7","16","12","A","1673465312",
"26","7","16","16","A","1673465312",
"27","8","17","21","A","1674894290",
"31","9","19","2","A","1678967758",
"32","9","19","10","A","1678967758",
"33","9","19","11","A","1678967758",
"34","9","19","22","A","1678967758",
"38","11","22","24","A","1681895992",
"39","12","23","25","A","1681901847",
"40","12","23","26","A","1681901847",
"41","12","23","27","A","1681901847",
"42","12","23","28","A","1681901847",
"43","12","23","29","A","1681901847",
"44","12","23","30","A","1681901847",
"50","16","27","21","A","1684569836",
"57","5","11","3","A","1687339702",
"58","5","11","4","A","1687339702",
"59","5","11","5","A","1687339702",
"60","5","11","12","A","1687339702",
"61","5","11","13","A","1687339702",
"62","5","11","19","A","1687339702",
"63","5","11","33","A","1687339702",
"64","5","11","34","A","1687339702",
"74","10","20","4","A","1690095800",
"75","10","20","23","A","1690095800",
"76","10","20","35","A","1690095800",
"84","20","35","14","A","1693499458",
"85","20","35","25","A","1693499458",
"122","23","39","3","A","1698576394",
"123","23","39","35","A","1698576394",
"132","26","46","3","A","1713069402",
"133","26","46","4","A","1713069402",
"134","26","46","35","A","1713069402",
"135","26","46","41","D","1713069402",
"136","26","46","42","A","1713069402",
"137","13","24","31","A","1715337894",
"138","13","24","43","A","1715337894",
"139","21","36","16","A","1715679411",
"140","21","36","37","A","1715679411",
"141","21","36","38","A","1715679411",
"142","21","36","39","A","1715679411",
"143","21","36","40","A","1715679411",
"144","27","49","44","A","1716290522",
"145","27","49","45","A","1716290522",
"146","28","50","14","A","1716294891",
"147","28","50","16","A","1716294891",
"157","25","44","3","A","1717835979",
"158","25","44","4","A","1717835979",
"159","25","44","35","A","1717835979",
"160","25","44","46","A","1717835979",
"171","30","56","47","A","1720882691",
"172","30","56","48","A","1720882691",
"173","30","56","49","A","1720882691",
"174","30","56","51","A","1720882691",
"178","31","58","3","A","1721914390",
"179","31","58","4","A","1721914390",
"190","39","65","47","A","1723809887",
"191","39","65","48","A","1723809887",
"192","39","65","49","A","1723809887",
"193","39","65","51","A","1723809887",
"194","40","66","47","A","1723814040",
"195","40","66","48","A","1723814040",
"196","40","66","49","A","1723814040",
"197","40","66","51","A","1723814040",
"198","41","64","47","A","1723814291",
"199","41","64","48","A","1723814291",
"200","41","64","49","A","1723814291",
"201","41","64","51","A","1723814291",
"202","43","69","3","A","1723872555",
"203","43","69","4","A","1723872555",
"204","43","69","35","A","1723872555",
"205","43","69","46","A","1723872555",
"222","48","74","47","A","1724837742",
"223","48","74","48","A","1724837742",
"224","48","74","49","A","1724837742",
"225","48","74","51","A","1724837742",
"230","49","76","3","A","1726226954",
"231","49","76","4","A","1726226954",
"234","1","6","3","A","1726388059",
"235","1","6","4","A","1726388059",
"236","1","6","56","A","1726388059",
"237","51","80","57","A","1726667057",
"273","54","85","3","A","1727432704",
"274","54","85","35","A","1727432704",
"275","55","86","22","A","1727443093",
"276","55","86","62","A","1727443093",
"277","55","86","63","A","1727443093",
"278","56","87","66","A","1728557133",
"279","56","87","67","A","1728557133",
"280","56","87","68","A","1728557133",
"281","56","87","69","A","1728557133",
"282","57","88","70","A","1728832704",
"283","58","52","71","A","1728981909",
"284","59","90","3","A","1729157244",
"285","59","90","4","A","1729157244",
"291","61","94","16","A","1729176826",
"292","61","94","37","A","1729176826",
"293","61","94","38","A","1729176826",
"294","61","94","39","A","1729176826",
"295","61","94","40","A","1729176826",
"298","62","28","41","D","1729319645",
"299","62","28","46","A","1729319645",
"304","64","13","5","A","1729409674",
"305","64","13","79","A","1729409674",
"306","6","14","5","A","1729418391",
"307","6","14","14","A","1729418391",
"308","6","14","15","A","1729418391",
