"id","course_id","course_program_name","program_overview_order","program_overview_selected","selected_ids","status","createdOn","updatedOn"
"1","2","Program Overview",,,,"A","2022-12-09 19:02:31",
"2","3","Key Highlights","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""Comprehensive training on essential skills for startup environments and virtual assistant roles."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Practical modules covering project management, digital marketing, and client communication."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Emphasis on hands-on experience through real-world projects and scenarios."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Opportunities for networking and mentorship with industry professionals."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Access to resources and tools to enhance productivity and efficiency."",""allowed"":1}]}","""1,2,3,4,5""","A","2022-12-09 19:07:00","2024-10-20 11:10:51"
"3","4","Program Overview",,,,"A","2022-12-13 12:50:02",
"4","5","Program Overview",,,,"A","2022-12-13 14:42:34",
"5","6","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Individual Profile Assessment:<\/b> We assess each student\u2019s profile to identify strengths and areas for improvement, offering personalized guidance throughout the course."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Building Thought Leadership:<\/b>  Learn to position yourself as an industry expert by creating valuable content, engaging in public speaking, writing articles, and using social media effectively."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Crafting unique digital presence:<\/b>  Master strategies to build and manage your online reputation, handle criticism, and leverage social media for professional networking."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Optimum and exciting applications of AI Tools:<\/b> Explore innovative ways to apply AI in planning, creating, and managing social media content for personal branding."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Interactive Classes with Live Demonstrations:<\/b> Gain hands-on experience through live demonstrations of personal branding strategies and tools."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Expert Instructors and Guest Lectures:<\/b>Learn from experienced instructors and guest speakers with real-world insights into personal branding for corporate leaders."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Guided Approach:<\/b>Enjoy ongoing support with personalized feedback and guidance tailored to your unique goals throughout the course."",""allowed"":1},{""refId"":8,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Holistic course curriculum:<\/b> Build a strong personal brand with SEO-friendly content creation, networking, and reputation management for both short- and long-term success."",""allowed"":1},{""refId"":9,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>No social media Background Required:<\/b> This course is beginner-friendly and designed for those with no prior knowledge of social media or branding."",""allowed"":1},{""refId"":10,""icon"":""key-highlights-1672896291.svg"",""txt"":""<b>Master Networking:<\/b>  Learn practical strategies to expand your professional network and build meaningful relationships to boost your personal brand."",""allowed"":1}]}","""1,2,3,4,5,6,7,8,9,10""","A","2022-12-14 16:21:40","2024-11-30 18:11:39"
"6","7","Program Overview",,,,"A","2022-12-14 16:51:38",
"7","8","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""Comprehensive Knowledge: The course provides a comprehensive understanding of the remote freelancing industry, covering all essential aspects from creating a profile to securing projects. You'll gain in-depth knowledge and insights into the industry, setting a strong foundation for success."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""Profile Building Expertise: Learn how to create an outstanding profile that effectively showcases your skills and expertise. Craft a compelling bio, curate an impressive portfolio, and optimize your profile to attract potential clients."",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""High-Demand Skill Identification: Discover the most sought-after skills in the remote freelancing market. By identifying and highlighting these high-demand skills, you increase your chances of attracting lucrative work and standing out from the competition."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""Effective Proposal Writing: Master the art of writing compelling proposals that grab the attention of clients. You'll learn proven techniques to articulate your value proposition, demonstrate your capabilities, and win projects consistently."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""Competitive Rate Setting: Understand how to set competitive rates that position you favorably against your competitors. You'll learn the factors influencing pricing decisions, enabling you to negotiate rates that reflect your skills and value."",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""Sample Work Creation: Gain insights into creating impressive sample work that showcases your abilities to potential clients. By curating a strong portfolio, you'll instill trust and credibility, increasing your chances of securing projects."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""Outreach Strategies: Learn effective outreach strategies to expand your network and connect with potential clients. The course covers cold emailing techniques and utilizing social media platforms like LinkedIn, Facebook, Twitter, Instagram, and YouTube to find work and assist clients."",""allowed"":1},{""refId"":8,""icon"":""key-highlights-1672896291.svg"",""txt"":""Track Record Building: Understand the importance of building a strong track record as a freelancer. You'll learn techniques to consistently deliver high-quality work, gather positive reviews, and establish a reputation that attracts more clients and opportunities."",""allowed"":1},{""refId"":9,""icon"":""key-highlights-1672896291.svg"",""txt"":""CV Building and Interview Preparation: Receive guidance on building an impressive CV tailored for freelance work. Additionally, the course will help you prepare for client interviews, equipping you with the skills to effectively communicate your expertise and secure projects."",""allowed"":1},{""refId"":10,""icon"":""key-highlights-1672896291.svg"",""txt"":""Ongoing Support and Guidance: Skill Arbitrage provides ongoing support and guidance throughout the course and beyond. You'll have access to resources, updates, and a community of fellow freelancers, allowing you to continue learning and growing even after completing the course."",""allowed"":1}]}","""1,2,3,4,5,6,7,8,9,10""","P","2022-12-14 17:30:56","2023-06-27 17:06:23"
"8","9","Program Overview",,,,"A","2022-12-14 18:09:20",
"9","10","Program Overview",,,,"A","2022-12-14 19:00:59",
"10","11","Program Overview","""""","{""program_overview"":[{""refId"":1,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course is for those who want to learn how to get remote international opportunities from fast-growing startups as HRs."",""allowed"":1},{""refId"":2,""icon"":""key-highlights-1672896291.svg"",""txt"":""This course is of great help to someone who is looking for growth in the current job or wants to upskill in this fast-paced industry"",""allowed"":1},{""refId"":3,""icon"":""key-highlights-1672896291.svg"",""txt"":""Whether you are a beginner, intermediate or already have some expertise & experience in the field of HR but want to acquire mastery, we will take care of your learning needs. For absolute beginners we have special classes to bring them up to the mark."",""allowed"":1},{""refId"":4,""icon"":""key-highlights-1672896291.svg"",""txt"":""We do not teach theories and case studies of HR in this course beyond passing references where you need to know. The focus is on practical skills so you can do real work\/freelancing work that is done in companies, startups, MNCs. For that, whatever you need to learn, we will teach you."",""allowed"":1},{""refId"":5,""icon"":""key-highlights-1672896291.svg"",""txt"":""In 24 weeks, master 50+ most important and most sought-after professional skills"",""allowed"":1},{""refId"":6,""icon"":""key-highlights-1672896291.svg"",""txt"":""The focus here is on practicing knowledge of skills, getting that evaluated and improving on the same."",""allowed"":1},{""refId"":7,""icon"":""key-highlights-1672896291.svg"",""txt"":""Learn to draft important legal documents like Employment Contracts, ESOP amongst others in multiple jurisdictions like USA, Dubai, Singapore etc.."",""allowed"":1},{""refId"":8,""icon"":""key-highlights-1672896291.svg"",""txt"":""Attend two live sessions a week for 6 months, and work on realistic assignments that you will face in real-time situations."",""allowed"":1},{""refId"":9,""icon"":""key-highlights-1672896291.svg"",""txt"":""Get one-on-one feedback on the policies and strategies you prepare. "",""allowed"":1},{""refId"":10,""icon"":""key-highlights-1672896291.svg"",""txt"":""Also, get trained on how to draft different policies and employee handbooks to streamline HR process in any organization"",""allowed"":1},{""refId"":11,""icon"":""key-highlights-1672896291.svg"",""txt"":""Get internships, freelance work, and jobs based on skills we discuss in class."",""allowed"":1},{""refId"":15,""icon"":""key-highlights-1672896291.svg"",""txt"":""HR professionals\/Freshers who are struggling to earn well or get a well-paid job, this course can really help you. Learning professional skills can rapidly change your earning potential."",""allowed"":1},{""refId"":16,""icon"":""key-highlights-1672896291.svg"",""txt"":""Learn practical insights from industry experts, some of them with decades of experience, and get your doubts cleared on the spot."",""allowed"":1},{""refId"":17,""icon"":""key-highlights-1672896291.svg"",""txt"":""Get access to 200+ high quality templates that you can actually use to work with clients"",""allowed"":1}]}","""1,2,3,4,5,6,7,8,9,10,11,15,16,17""","P","2022-12-25 13:05:19","2024-12-21 19:12:16"
