"id","course_id","course_promo_video_name","position_order","status","added_date","modified_date","promo_video_details"
"1","2","Promotional Video Name",,"A","2022-12-09 19:02:31",,
"2","3","Promotional Video Name",,"A","2022-12-09 19:07:00",,
"3","1","Tech Test Promotional Video Name",,"P","2022-12-09 21:27:52",,"[{""header_text"":""Test Video"",""normal_text"":""<p><span style=\""color:rgb(0, 0, 0); font-family:open sans,arial,sans-serif; font-size:14px; text-align:justify\"">Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam nec rutrum dui, ac vestibulum ante. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Praesent sollicitudin, dolor et lacinia fringilla, risus ex pulvinar elit, ac rutrum lectus purus a diam. Nunc sagittis sem metus, sit amet varius erat accumsan quis. In non fermentum enim. Nam feugiat volutpat sem nec posuere. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum scelerisque, quam at ullamcorper interdum, nisl felis auctor lorem, ac facilisis nisi nulla in arcu. Cras et nulla eu tortor posuere varius. Praesent sagittis, nisi non finibus finibus, lectus nisl maximus dolor, ut pellentesque sem nibh et quam. Integer scelerisque, diam vitae suscipit dapibus, sem est finibus ante, ut suscipit nisl metus id augue. Aliquam tincidunt tincidunt vulputate. Aliquam erat volutpat. Nunc pulvinar facilisis urna, eget aliquet risus pellentesque nec. Donec efficitur volutpat nisi vel volutpat. Nullam ac lacus dictum, bibendum erat a, aliquet lorem.<\/span><\/p>\r\n"",""youtube_link"":""https:\/\/www.youtube.com\/watch?v=SWqaDnEMnhI&ab_channel=LawSikho"",""image_name"":""4e22fb233b3a94d4dada53d9901f60cb-1670601471.jpg""}]"
"4","4","Promotional Video Name",,"A","2022-12-13 12:50:02",,
"5","5","Promotional Video Name",,"A","2022-12-13 14:42:34",,
"6","6","Promotional Video Name",,"A","2022-12-14 16:21:40",,
"7","7","Promotional Video Name",,"A","2022-12-14 16:51:38",,
"8","8","Promotional Video Name",,"A","2022-12-14 17:30:56",,
"9","9","Promotional Video Name",,"A","2022-12-14 18:09:20",,
"10","10","Promotional Video Name",,"A","2022-12-14 19:00:59",,
"11","11","Promotional Video Name",,"A","2022-12-25 13:05:19",,
"12","12","Promotional Video Name",,"A","2022-12-27 17:32:09",,
"13","13","Promotional Video Name",,"A","2022-12-28 12:44:12",,
"14","14","Promotional Video Name",,"A","2022-12-28 13:22:17","2022-12-28 13:31:30","[{""header_text"":""How the new Labour codes will impact the work of HR Managers  "",""normal_text"":""<p>Abhyuday Agarwal<\/p>\r\n"",""youtube_link"":""https:\/\/www.youtube.com\/embed\/r9ArUo2ihqk"",""image_name"":""1-1672214490.jpg""},{""header_text"":""Post lockdown implications for Employees and the workforce"",""normal_text"":""<p>Ashok Naik, Abhyuday Agarwal, Poornima Jacob<\/p>\r\n"",""youtube_link"":""https:\/\/www.youtube.com\/embed\/HnR8e3UFCOo"",""image_name"":""2-1672214490.jpg""},{""header_text"":""Career opportunities for Lawyers interested in Employment Laws"",""normal_text"":""<p>Deeksha Malik, Abhyuday Agarwal<\/p>\r\n"",""youtube_link"":""https:\/\/www.youtube.com\/embed\/74IlanN4Jgs"",""image_name"":""3-1672214490.jpg""}]"
"15","15","Promotional Video Name",,"A","2023-01-04 11:32:27",,
"16","16","Promotional Video Name",,"A","2023-01-11 13:03:47",,
"17","17","Promotional Video Name",,"A","2023-01-28 12:51:05",,
"18","18","Promotional Video Name",,"A","2023-02-19 15:54:23",,
"19","19","Promotional Video Name",,"A","2023-03-16 17:09:11",,
"20","20","Promotional Video Name",,"A","2023-03-23 12:42:57",,
"21","21","Promotional Video Name",,"A","2023-04-10 18:59:43",,
"22","22","Promotional Video Name",,"A","2023-04-19 13:57:20",,
"23","23","Promotional Video Name",,"A","2023-04-19 15:44:58",,
"24","24","Promotional Video Name",,"A","2023-04-19 16:57:51",,
"25","25","Promotional Video Name",,"A","2023-04-20 12:23:34",,
"26","26","Promotional Video Name",,"A","2023-04-28 20:04:45",,
"27","27","Promotional Video Name",,"A","2023-05-20 13:30:23",,
"28","28","Promotional Video Name",,"A","2023-05-21 12:12:52",,
"29","30","Promotional Video Name",,"A","2023-08-03 16:55:45",,
"30","31","Promotional Video Name",,"A","2023-08-03 20:03:21",,
"31","32","Promotional Video Name",,"A","2023-08-04 13:33:51",,
"32","33","Promotional Video Name",,"A","2023-08-10 17:04:23",,
"33","34","Promotional Video Name",,"A","2023-08-19 13:32:11",,
"34","35","Promotional Video Name",,"A","2023-08-31 21:46:39",,
"35","36","Promotional Video Name",,"A","2023-09-01 16:06:26",,
"36","37","Promotional Video Name",,"A","2023-10-13 18:52:33",,
"37","38","Promotional Video Name",,"A","2023-10-13 19:46:29",,
"38","39","Promotional Video Name",,"A","2023-10-28 16:50:53",,
"39","40","Promotional Video Name",,"A","2023-10-28 17:33:48",,
"40","41","Promotional Video Name",,"A","2023-12-22 19:38:15",,
"41","42","Promotional Video Name",,"A","2023-12-22 20:45:41",,
"42","43","Promotional Video Name",,"A","2023-12-22 21:06:53",,
"43","44","Promotional Video Name",,"A","2024-01-28 11:37:42",,
"44","45","Promotional Video Name",,"A","2024-03-17 10:36:29",,
"45","46","Promotional Video Name",,"A","2024-04-14 10:00:13",,
"46","47","Promotional Video Name",,"A","2024-04-20 23:37:01",,
"47","48","Promotional Video Name",,"A","2024-05-18 18:30:14",,
"48","49","Promotional Video Name",,"A","2024-05-21 16:33:14",,
"49","50","Promotional Video Name",,"A","2024-05-21 17:29:17",,
"50","51","Promotional Video Name",,"A","2024-05-31 16:11:18",,
"51","52","Promotional Video Name",,"A","2024-06-01 13:44:26",,
"52","53","Promotional Video Name",,"A","2024-06-01 13:47:08",,
"53","54","Promotional Video Name",,"A","2024-06-28 14:09:31",,
"54","55","Promotional Video Name",,"A","2024-06-29 15:10:02",,
"55","56","Promotional Video Name",,"A","2024-07-11 16:15:35",,
"56","57","Promotional Video Name",,"A","2024-07-14 13:50:06",,
"57","58","Promotional Video Name",,"A","2024-07-25 14:05:36",,
