"id","section_type_title","status","added_date","modified_date"
"1","Banner","A","1558442305",
"2","Text Content","A","1558442305",
"3","Industry","A","1558442305",
"4","Course Plan","A","1558442305",
"5","Faculty","A","1558442305",
"6","Academia Panel","A","1558442305",
"7","Testimonials","A","1558442310",
"8","Legal Expert","A","1558442305",
"9","FAQ","A","1558442305",
"10","Syllabus","A","1558442350",
"11","Forms","A","1558442350",
"12","Video Testimonials","A","1558442350",
"13","program_overview","A","1558442350",
"14","SpecialSection","D","1558442350",
"15","Promotional Video","A","1558442350",
"16","Quick Overview","A","1619606734",
