"id","course_id","section_type_id","section_type","section_position","status","added_date","modified_date","show_on_menu"
"1","1","1","banner","1","A","0000-00-00 00:00:00","2022-12-09 21:12:05","Y"
"2","1","2","banner","2","A","0000-00-00 00:00:00","2022-12-09 18:12:42","Y"
"3","2","3","banner","1","A","0000-00-00 00:00:00","2022-12-13 17:12:50","N"
"4","2","1","program_overview","2","A","2022-12-09 19:02:31",\N,"N"
"5","2","1","promotional_video","3","A","2022-12-09 19:02:31",\N,"N"
"6","2","1","textcontent","4","A","2022-12-09 19:04:31","2022-12-09 19:12:45","Y"
"7","2","2","textcontent","5","A","2022-12-09 19:05:07","2022-12-09 19:12:02","Y"
"8","2","3","textcontent","6","A","2022-12-09 19:05:51","2022-12-09 19:12:22","Y"
"9","3","4","banner","1","A","0000-00-00 00:00:00","2026-08-21 14:08:31","N"
"10","3","2","program_overview","2","A","2022-12-09 19:07:00","2025-11-24 21:11:19","N"
"11","3","2","promotional_video","3","A","2022-12-09 19:07:00","2025-11-24 21:11:19","N"
"12","2","4","textcontent","7","A","2022-12-09 19:07:42","2022-12-09 19:12:31","Y"
"13","3","5","textcontent","4","A","2022-12-09 19:07:55","2025-11-24 21:11:19","Y"
"14","3","6","textcontent","5","P","2022-12-09 19:08:23","2025-11-24 21:11:19","Y"
"15","3","7","textcontent","6","A","2022-12-09 19:08:40","2025-11-24 21:11:19","Y"
"16","2","8","textcontent","8","A","2022-12-09 19:08:49",\N,"Y"
"17","3","9","textcontent","8","P","2022-12-09 19:09:25","2025-11-24 21:11:19","N"
"18","2","10","textcontent","9","A","2022-12-09 19:11:26","2022-12-13 17:12:37","Y"
"19","3","11","textcontent","9","P","2022-12-09 19:14:56","2025-11-24 21:11:19","Y"
"20","3","12","textcontent","11","A","2022-12-09 19:18:08","2025-11-24 21:11:19","Y"
"21","3","1","testimonials","12","A","2022-12-09 19:18:33","2025-11-24 21:11:19","Y"
"22","2","2","testimonials","10","A","2022-12-09 19:25:35","2022-12-16 21:12:28","Y"
"23","2","1","course_plan","11","A","2022-12-09 19:34:42",\N,"Y"
"24","3","2","course_plan","16","A","2022-12-09 19:34:54","2025-11-24 21:11:19","Y"
"25","1","3","promotional_video","3","P","2022-12-09 21:27:52",\N,"Y"
"26","4","5","banner","1","A","0000-00-00 00:00:00","2022-12-13 13:12:16","N"
"27","4","3","program_overview","2","A","2022-12-13 12:50:02",\N,"N"
"28","4","4","promotional_video","3","A","2022-12-13 12:50:02",\N,"N"
"29","4","3","course_plan","4","A","2022-12-13 14:04:03","2022-12-13 14:12:54","Y"
"30","5","6","banner","1","A","0000-00-00 00:00:00","2022-12-27 18:12:48","N"
"31","5","4","program_overview","2","A","2022-12-13 14:42:34",\N,"N"
"32","5","5","promotional_video","3","A","2022-12-13 14:42:34",\N,"N"
"33","3","13","textcontent","10","A","2022-12-13 17:54:59","2025-11-24 21:11:19","Y"
"34","6","7","banner","1","A","0000-00-00 00:00:00","2026-08-21 14:08:13","N"
"35","6","5","program_overview","2","A","2022-12-14 16:21:40","2024-11-30 18:11:39","N"
"36","6","6","promotional_video","3","A","2022-12-14 16:21:40","2024-09-15 13:09:00","N"
"37","6","14","textcontent","4","A","2022-12-14 16:22:07","2024-09-15 13:09:00","Y"
"38","6","15","textcontent","6","A","2022-12-14 16:22:35","2026-01-30 10:01:07","Y"
"39","6","16","textcontent","9","A","2022-12-14 16:23:10","2024-09-15 14:09:55","Y"
"40","6","17","textcontent","11","P","2022-12-14 16:23:36","2024-12-01 14:12:10","Y"
"41","6","18","textcontent","12","A","2022-12-14 16:24:10","2024-09-15 13:09:00","Y"
"42","6","1","faculty","14","A","2022-12-14 16:27:19","2024-09-15 13:09:00","Y"
"43","6","4","course_plan","16","A","2022-12-14 16:28:34","2024-09-15 13:09:00","Y"
"44","6","19","textcontent","8","A","2022-12-14 16:41:52","2026-03-12 12:03:18","Y"
"45","7","8","banner","1","A","0000-00-00 00:00:00","2022-12-14 17:12:17","N"
"46","7","6","program_overview","2","A","2022-12-14 16:51:38",\N,"N"
"47","7","7","promotional_video","3","A","2022-12-14 16:51:38",\N,"N"
"48","7","20","textcontent","4","A","2022-12-14 16:59:25",\N,"Y"
"49","7","21","textcontent","5","A","2022-12-14 16:59:52",\N,"Y"
"50","7","22","textcontent","6","A","2022-12-14 17:00:19","2022-12-14 17:12:36","Y"
"51","7","23","textcontent","7","A","2022-12-14 17:00:45",\N,"Y"
"52","7","24","textcontent","8","A","2022-12-14 17:01:16",\N,"Y"
"53","7","25","textcontent","9","A","2022-12-14 17:01:54",\N,"Y"
"54","7","26","textcontent","10","A","2022-12-14 17:02:33",\N,"Y"
"55","7","27","textcontent","11","A","2022-12-14 17:04:29","2022-12-14 17:12:11","Y"
"56","7","28","textcontent","12","A","2022-12-14 17:05:39",\N,"Y"
"57","7","29","textcontent","13","A","2022-12-14 17:06:03","2022-12-14 17:12:06","Y"
"58","7","30","textcontent","14","A","2022-12-14 17:07:11",\N,"Y"
"59","7","31","textcontent","15","A","2022-12-14 17:07:53",\N,"Y"
"60","7","1","syllabus","16","A","2022-12-14 17:08:15",\N,"Y"
"61","7","5","course_plan","17","A","2022-12-14 17:12:35",\N,"Y"
"62","8","9","banner","1","A","0000-00-00 00:00:00","2026-08-11 13:08:25","N"
"63","8","7","program_overview","2","P","2022-12-14 17:30:56","2025-01-10 15:01:04","N"
"64","8","8","promotional_video","3","A","2022-12-14 17:30:56","2025-01-10 15:01:04","N"
"65","8","32","textcontent","4","A","2022-12-14 17:33:01","2026-01-31 16:01:51","Y"
"66","8","33","textcontent","5","A","2022-12-14 17:34:14","2026-01-22 21:01:57","Y"
"67","8","34","textcontent","7","P","2022-12-14 17:34:39","2025-01-10 15:01:04","N"
"68","8","35","textcontent","8","A","2022-12-14 17:35:29","2025-01-10 15:01:35","Y"
"69","8","36","textcontent","11","A","2022-12-14 17:35:52","2025-01-10 15:01:08","Y"
"70","8","37","textcontent","12","A","2022-12-14 17:36:21","2025-01-10 15:01:03","Y"
"71","8","38","textcontent","13","A","2022-12-14 17:36:46","2025-01-10 15:01:18","Y"
"72","8","39","textcontent","14","A","2022-12-14 17:37:09","2025-01-10 15:01:04","Y"
"73","8","40","textcontent","15","A","2022-12-14 17:41:23","2026-01-30 10:01:23","Y"
"74","8","41","textcontent","17","P","2022-12-14 17:41:45","2025-01-10 15:01:04","Y"
"75","8","2","faculty","19","A","2022-12-14 17:41:58","2025-01-10 15:01:04","Y"
"76","8","42","textcontent","16","A","2022-12-14 17:44:15","2026-03-12 12:03:11","Y"
"77","8","2","syllabus","20","A","2022-12-14 17:44:25","2025-01-10 15:01:04","Y"
"78","8","6","course_plan","21","A","2022-12-14 17:55:03","2025-01-10 15:01:04","Y"
"79","9","10","banner","1","A","0000-00-00 00:00:00","2022-12-14 18:12:55","N"
"80","9","8","program_overview","2","A","2022-12-14 18:09:20",\N,"N"
"81","9","9","promotional_video","3","A","2022-12-14 18:09:20",\N,"N"
"82","9","43","textcontent","4","A","2022-12-14 18:10:57","2023-02-18 16:02:45","Y"
"83","9","44","textcontent","5","A","2022-12-14 18:11:31","2023-02-18 16:02:43","Y"
"84","9","45","textcontent","6","A","2022-12-14 18:11:57",\N,"Y"
"85","9","46","textcontent","7","A","2022-12-14 18:12:30",\N,"Y"
"86","9","47","textcontent","8","A","2022-12-14 18:12:59","2022-12-14 19:12:05","Y"
"87","9","48","textcontent","9","A","2022-12-14 18:13:38",\N,"Y"
"88","9","49","textcontent","10","A","2022-12-14 18:14:09",\N,"Y"
"89","9","50","textcontent","11","A","2022-12-14 18:14:34",\N,"Y"
"90","9","51","textcontent","12","A","2022-12-14 18:14:59","2022-12-14 18:12:40","Y"
"91","9","52","textcontent","13","A","2022-12-14 18:16:44","2022-12-14 18:12:54","Y"
"92","9","53","textcontent","14","A","2022-12-14 18:17:15",\N,"Y"
"93","9","1","academia_panel","15","A","2022-12-14 18:20:00",\N,"Y"
"94","9","3","faculty","16","A","2022-12-14 18:20:29","2022-12-14 18:12:58","Y"
"95","9","3","syllabus","17","A","2022-12-14 18:23:14",\N,"Y"
"96","9","7","course_plan","18","A","2022-12-14 18:54:32",\N,"Y"
"97","10","11","banner","1","A","0000-00-00 00:00:00","2022-12-14 19:12:38","N"
"98","10","9","program_overview","2","A","2022-12-14 19:00:59",\N,"N"
"99","10","10","promotional_video","3","A","2022-12-14 19:00:59",\N,"N"
"100","10","54","textcontent","4","A","2022-12-14 19:09:19",\N,"Y"
"101","10","55","textcontent","5","A","2022-12-14 19:09:40",\N,"Y"
"102","10","56","textcontent","6","A","2022-12-14 19:10:05",\N,"Y"
"103","10","57","textcontent","7","A","2022-12-14 19:10:32",\N,"Y"
"104","10","58","textcontent","8","A","2022-12-14 19:11:16",\N,"Y"
"105","10","59","textcontent","9","A","2022-12-14 19:11:49",\N,"Y"
"106","10","60","textcontent","10","A","2022-12-14 19:12:15",\N,"Y"
"107","10","61","textcontent","11","A","2022-12-14 19:12:41",\N,"Y"
"108","10","62","textcontent","12","A","2022-12-14 19:13:12","2022-12-14 19:12:58","Y"
"109","10","63","textcontent","13","A","2022-12-14 19:14:43","2022-12-14 19:12:13","Y"
"110","10","4","faculty","14","A","2022-12-14 19:15:33","2022-12-14 19:12:43","Y"
"111","10","4","syllabus","15","A","2022-12-14 19:18:58",\N,"Y"
"112","10","8","course_plan","16","A","2022-12-14 19:22:24",\N,"Y"
