"id","course_id","course_syllabus_name","status","added_date","modified_date"
"1","7","Syllabus","A","2022-12-14 17:08:15",
"2","8","Syllabus","A","2022-12-14 17:44:25",
"3","9","Syllabus","A","2022-12-14 18:23:14",
"4","10","Syllabus","A","2022-12-14 19:18:58",
"5","11","Syllabus","A","2022-12-25 13:28:52",
"6","12","Syllabus","A","2022-12-27 17:39:12",
"7","13","Syllabus","A","2022-12-28 12:49:38",
"8","14","Syllabus","A","2022-12-28 14:01:43",
"9","16","Syllabus","A","2023-01-11 13:20:51",
"10","17","Syllabus","A","2023-01-28 13:01:12",
"11","18","Syllabus","A","2023-02-19 16:13:15",
"12","20","Syllabus","A","2023-03-23 14:48:34",
"13","22","Syllabus","A","2023-04-19 14:50:00",
"14","23","Syllabus","A","2023-04-19 15:52:52",
"15","24","Syllabus","A","2023-04-19 17:10:53",
"16","25","Syllabus","A","2023-04-20 12:30:33",
"17","26","Syllabus","A","2023-04-28 20:10:06",
"18","27","Syllabus","A","2023-05-20 13:34:11",
"19","28","Syllabus","A","2023-05-21 12:17:02",
"20","29","Syllabus","A","2023-06-08 20:13:33",
"21","30","Syllabus","A","2023-08-03 17:03:41",
"22","31","Syllabus","A","2023-08-03 20:08:25",
"23","34","Syllabus","A","2023-08-19 13:40:51",
"24","35","Syllabus","A","2023-09-01 14:49:54",
"25","36","Syllabus","A","2023-09-01 16:15:38",
"26","37","Syllabus","A","2023-10-13 19:16:37",
"27","38","Syllabus","A","2023-10-13 19:58:08",
"28","39","Syllabus","A","2023-10-28 16:58:12",
"29","40","Syllabus","A","2023-10-28 17:40:27",
"30","41","Syllabus","A","2023-12-22 20:02:43",
"31","42","Syllabus","A","2023-12-22 21:31:30",
"32","43","Syllabus","A","2023-12-22 21:47:09",
"33","44","Syllabus","A","2024-01-28 11:52:12",
"34","6","Syllabus","A","2024-02-09 13:41:15",
"35","33","Syllabus","A","2024-02-09 14:10:07",
"36","3","Syllabus","A","2024-02-09 15:31:19",
"37","45","Syllabus","A","2024-03-17 10:36:41",
"38","46","Syllabus","A","2024-04-14 10:06:59",
"39","47","Syllabus","A","2024-04-20 23:37:13",
"40","48","Syllabus","A","2024-05-18 18:30:26",
"41","49","Syllabus","A","2024-05-21 16:52:15",
"42","50","Syllabus","A","2024-05-21 18:06:40",
"43","51","Syllabus","D","2024-05-31 16:12:04","2024-05-31 17:05:46"
"44","52","Syllabus","D","2024-06-02 12:45:52","2024-06-02 13:06:37"
"45","51","Syllabus","A","2024-06-02 13:20:55",
"46","52","Syllabus","A","2024-06-02 13:40:43",
"47","54","Syllabus","A","2024-06-28 14:09:42",
"48","55","Syllabus","A","2024-06-29 15:14:24",
"49","56","Syllabus","A","2024-07-11 16:22:34",
"50","57","Syllabus","A","2024-07-14 13:52:01",
"51","58","Syllabus","A","2024-07-25 14:11:13",
"52","59","Syllabus","A","2024-07-25 16:24:04",
"53","60","Syllabus","A","2024-08-14 18:30:12",
"54","61","Syllabus","A","2024-08-14 18:54:51",
"55","62","Syllabus","D","2024-08-14 19:30:14","2024-08-16 16:08:00"
"56","63","Syllabus","D","2024-08-14 19:32:30","2024-08-16 16:08:00"
"57","63","Syllabus","A","2024-08-16 16:19:21",
"58","62","Syllabus","A","2024-08-16 16:36:15",
"59","65","Syllabus","A","2024-08-16 17:08:39",
"60","66","Syllabus","A","2024-08-16 18:04:36",
"61","64","Syllabus","A","2024-08-16 18:29:55",
"62","68","Syllabus","A","2024-08-16 22:18:07",
"63","69","Syllabus","A","2024-08-17 10:59:35",
"64","70","Syllabus","A","2024-08-23 18:59:18",
"65","71","Syllabus","A","2024-08-27 12:55:08",
"66","73","Syllabus","A","2024-08-27 13:24:24",
"67","72","Syllabus","A","2024-08-27 13:27:37",
"68","74","Syllabus","A","2024-08-28 15:06:16",
"69","76","Syllabus","A","2024-09-13 17:05:43",
"70","77","Syllabus","A","2024-09-13 17:35:11",
"71","78","Syllabus","A","2024-09-13 18:04:05",
"72","79","Syllabus","A","2024-09-13 18:28:48",
"73","80","Syllabus","A","2024-09-18 18:55:36",
"74","81","Syllabus","A","2024-09-22 06:08:55",
"75","83","Syllabus","A","2024-09-27 15:06:28",
"76","84","Syllabus","A","2024-09-27 15:33:13",
"77","85","Syllabus","A","2024-09-27 15:55:16",
"78","87","Syllabus","A","2024-10-10 16:16:25",
"79","88","Syllabus","A","2024-10-13 19:33:33",
"80","89","Syllabus","A","2024-10-17 14:38:09",
"81","90","Syllabus","A","2024-10-17 14:57:36",
"82","94","Syllabus","A","2024-10-17 20:24:32",
"83","95","Syllabus","A","2024-10-18 14:44:00",
"84","96","Syllabus","A","2024-10-20 11:40:17",
"85","97","Syllabus","A","2024-11-08 18:53:34",
"86","98","Syllabus","A","2024-11-08 19:37:09",
"87","100","Syllabus","A","2024-11-22 13:40:07",
"88","91","Syllabus","A","2024-12-05 13:28:00",
"89","103","Syllabus","A","2024-12-06 12:26:42",
"90","104","Syllabus","A","2024-12-06 13:16:03",
"91","106","Syllabus","A","2024-12-22 14:28:56",
