"id","course_id","course_testimonial_name","status","added_date","modified_date"
"1","3","Testimonials","A","2022-12-09 19:18:33","2022-12-09 19:12:57"
"2","2","Testimonials","A","2022-12-09 19:25:35","2022-12-16 21:12:28"
"3","4","test tesimonial","D","2022-12-15 13:14:03","2022-12-15 13:12:27"
"4","4","test tesimonial","A","2022-12-15 13:14:03",
"5","11","Testimonial to course","A","2023-06-21 15:07:04","2023-06-29 15:06:44"
"6","20","Testimonial","A","2023-06-27 15:36:48","2023-06-27 16:06:14"
"7","6","Testimonials of students","A","2023-06-27 16:53:53",
"8","31","Testimonial","A","2023-08-03 20:21:26","2023-08-03 20:08:23"
"9","44","Testimonials","A","2024-06-08 12:27:06","2024-08-08 14:08:07"
"10","69","Testimonials","A","2024-08-17 10:54:02",
"11","30","Testimonials","A","2024-09-06 17:59:27",
"12","35","Testimonials","D","2024-09-15 15:10:14","2024-09-20 15:09:09"
"13","35","Testimonials","A","2024-09-20 15:20:18","2024-09-20 15:09:30"
"14","24","Highlighting Inspirational Journeys/Testimonials","A","2024-10-18 15:55:50",
"15","28","Highlighting Inspirational Journeys/Testimonials","A","2024-10-19 11:49:25","2024-10-19 11:10:20"
"16","33","Highlighting Inspirational Journeys/Testimonials","A","2024-10-19 17:40:12","2024-10-19 17:10:28"
"17","13","Testimonial","A","2024-10-20 13:15:47","2024-10-20 13:10:15"
"18","23","Highlighting Inspirational Journeys/Testimonials","A","2024-10-20 14:09:13",
"19","14","Highlighting Inspirational Journeys/Testimonials","A","2024-10-20 15:37:29",
"20","12","Highlighting Inspirational Journeys/Testimonials","A","2024-10-21 17:56:57",
"21","85","Highlighting Inspirational Journeys/Testimonials","A","2024-10-24 19:36:01",
"22","78","Highlighting Inspirational Journeys/Testimonials","A","2024-10-24 19:44:54",
"23","8","Highlighting Inspirational Journeys/Testimonials","A","2024-10-24 20:01:54",
"24","82","Solicitor Qualifying Exam (SQE): Success Stories","A","2024-10-24 21:34:44","2024-10-24 21:10:27"
"25","34","Successful alumni who secured appointments as independent director","A","2024-11-06 14:41:05","2024-11-07 14:11:29"
"26","102","Solicitor Qualifying Exam (SQE): Success Stories","A","2024-12-06 11:32:21",
"27","26","Testimonial","A","2024-12-27 16:59:39",
"28","29","Course Testimonial","A","2025-11-21 12:39:49",
