"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"1","Test Runka","Sr. Dev",,"www.google.com","test-runka-1670587544.jpg","1670587516","1670587544","A"
"2","SHWETA DEVGAN","Director at SkillArbitrage, alumnus, NLS Bangalore",,"https://www.linkedin.com/in/shweta-kumar-devgan-7a1360b/","shweta-devgan-1671015337.jpg","1671015337","1671031147","A"
"3","PRIYANKA KARWA","Director of Employability and Placements at SkillArbitrage",,"https://www.linkedin.com/in/priyanka-karwa-4a6a75111/","priyanka-karwa-1671015376.jpg","1671015376","1671031116","A"
"4","DR. SIDDHARTHA PRIYA","B. Tech. (IIT), MBA (IIM), Ph.D., LL.B.",,"https://www.linkedin.com/in/siddharthapriya/","dr-siddhartha-priya-1671015413.jpg","1671015413",,"A"
"5","Esha Shekhar","Independent Corporate Counsel | Corporate Advisory and Compliance | Trainer- POSH and gender laws",,"https://www.linkedin.com/in/esha-shekhar/","esha-shekhar-1671022118.jpg","1671022118",,"A"
"6","KABIR PHADKE","Associate at Rajaram Legal",,"https://www.linkedin.com/in/kp1/","kabir-phadke-1671022272.jpg","1671022272",,"A"
"7","RATUL ROSHAN","Blockchain | Fintech | Data Protection",,"https://www.linkedin.com/in/ratul-roshan-79bb84107/","ratul-roshan-1671022310.jpg","1671022310",,"A"
"8","CHARITARTH BHARTI","Technology Law and Policy | Digital Rights| Li Ka Shing Scholar, NUS LKYSPP",,"https://www.linkedin.com/in/charitarth-bharti-98075651/","charitarth-bharti-1671022347.jpg","1671022347",,"A"
"9","ANAND NARAYAN","Manager - Legal, Anand Rathi",,"https://www.linkedin.com/in/anand-narayan-63b37520/","anand-narayan-1671025627.jpg","1671025627",,"A"
"10","MANASH MANDAL","Course Anchor, Senior Associate - SkillArbitrage. Law graduate from Hidayatullah National Law University, Raipur.",,"https://www.linkedin.com/in/manash-mandal-5934bb116/","manash-mandal-1671025662.jpg","1671025662","1671031217","A"
"11","GARGI ROY","Senior Associate and Expert Faculty for Insolvency law",,"https://www.linkedin.com/in/gargi-roy-27a14765/","gargi-roy-1671025697.jpg","1671025697",,"A"
"12","JAYANTIKA GANGULY","Lawyer. Writer. Sherlockian. Traveller. Dreamer. Life Coach.",,"https://www.linkedin.com/in/jayantika-ganguly-649b7421/","jayantika-ganguly-1671955011.jpg","1671955011",,"A"
"13","HARMAN SAINI","CPO at SkillArbitrage, Former Unacademy HR manager",,"https://www.linkedin.com/in/harman-saini-177b566b/","harman-saini-1671955058.jpeg","1671955058",,"A"
"14","ABHYUDAY AGARWAL","Co-Founder and COO, SkillArbitrage (former corporate lawyer)",,"https://lawsikho.com/course/linkedin.in","abhyuday-agarwal-1672215975.jpg","1672215975","1673425853","A"
"15","HARSH JAIN","Co-Founder (Lawsikho), Mentor, Life Coach, Veteran Judiciary and competitive exam Coach, UGC-NET, JRF, Author, Blogger, Managing Editor (iPleaders blog), competitive exam strategy expert",,"https://in.linkedin.com/in/harsh-jain-667359159","harsh-jain-1672227586.jpeg","1672216002","1672227586","A"
"16","KOMAL SHAH","Co-founder and Chief Knowledge Officer, SkillArbitrage, former in-house counsel and company secretary with over a decade of experience in securities, funds and capital markets",,"https://in.linkedin.com/in/komalshah2","komal-shah-1672216034.jpg","1672216034","1673425869","A"
"17","NITISH CHOPRA","Advocate, Chopra Associates",,"","nitish-chopra-1672216142.jpg","1672216142",,"A"
"18","PUNEET GUPTA","Independent Law Practice Professional",,"https://www.linkedin.com/in/AdvPuneetGupta/","puneet-gupta-1672216172.jpg","1672216172",,"A"
"19","ASHOK NAIK","Lawyer & Adviser on Employment & Service Law Matters, Ex-Senior Vice President & Head Employee Relations at IndusInd Bank Limited (35+ years’ experience)",,"","ashok-naik-1672216199.jpg","1672216199",,"A"
"20","CS SAPNA SARDA","Principal Associate",,"","cs-sapna-sarda-1673423331.png","1673423331",,"A"
"21","Swaneet Bhatia","is an expert in 7 languages, a professional international interpreter, translator, speaker and author of a book published by Yale University.",,"","swaneet-bhatia-1674894192.png","1674894192",,"A"
"22","ARPANA SACHDEVA","Principal Associate at SkillArbitrage (Course Anchor - Solicitors Qualifying Examination) and Academician with 11 Years of experience combining Litigation and Teaching.",,"https://www.linkedin.com/in/arpana-sachdeva-19610a10b/","arpana-sachdeva-1678967739.jpg","1678967739","1729784644","A"
"23","Mili Kanoujiya","Social Media Content Strategist and Digital Art Enthusiast",,"https://www.linkedin.com/in/mili-kanoujiya/","mili-kanoujiya-1679563981.jpg","1679562162","1679563981","A"
"24","CA Ashish Saxena","Controller, Head of Finance, Accounts and Taxation, IFRS, US GAAP, IND AS, Law and Compliances, A.P. Moller & Maersk, Former Statutory Manager at Mastercard and Divisional CFO at GTL Ltd.",,"https://www.linkedin.com/in/ashish-saxena-791349a2","ashish-saxena-1681895970.jpg","1681895970","1729784954","A"
"25","Divya Seth","Corporate/M&A Associate at Greenberg Traurig, LLP, a dual qualified attorney in New York & India",,"https://www.linkedin.com/in/divya-seth-49b8b228/","divya-seth-1681901579.png","1681901579",,"A"
