"id","person_name","person_designation","person_organisation","person_linkedin","person_website_link","status","image_name","added_date","modified_date"
"1","Test Runka","Sr. Dev",,"Test-google.com","facebook.com","A","test-runka-1670590330.jpg","1670588303","1670590330"
"2","Esha Shekhar","Independent Corporate Counsel | Corporate Advisory and Compliance | Trainer- POSH and gender laws",,"https://www.linkedin.com/in/esha-shekhar/","","A","esha-shekhar-1671022178.jpg","1671022178",
"3","Jayantika Ganguly","Lawyer. Writer. Sherlockian. Traveller. Dreamer. Life Coach.",,"https://www.linkedin.com/in/jayantika-ganguly-649b7421/","","A","jayantika-ganguly-1671954935.jpg","1671954935",
"4","NITISH CHOPRA","Advocate, Chopra Associates",,"","","A","nitish-chopra-1672215877.jpg","1672215877",
"5","PUNEET GUPTA","Independent Law Practice Professional",,"","","A","puneet-gupta-1672215903.jpg","1672215903",
"6","ASHOK NAIK","Lawyer & Adviser on Employment & Service Law Matters, Ex-Senior Vice President & Head Employee Relations at IndusInd Bank Limited (35+ years’ experience)",,"","","A","ashok-naik-1672215924.jpg","1672215924",
"7","CS GAURAV PINGLE","Practising CS, Author - Handbook on Securities Laws, RPTs, Virtual Meetings, Interests: Corporate Governance & FEMA",,"","","A","cs-gaurav-pingle-1673423191.jpeg","1673423191",
"8","CS PALLAVI PARIHAR","Fellow Company Secretary. Academician",,"","","A","cs-pallavi-parihar-1673423221.jpeg","1673423221",
"9","CS KALYANI SHIRODE","Company Secretary, Authored books for Taxmann Publications",,"","","A","cs-kalyani-shirode-1673423247.jpeg","1673423247",
"10","Sunil Agarwal","Senior Standing Counsel, Delhi High Court, Ex-IRS, Ex Senior Partner, AZB and Partners, teaches international tax",,"https://www.linkedin.com/in/sunilagarwal1986/","","A","sunil-agarwal-1681904284.png","1681904284",
"11","Komal Shah","Co-founder and Chief Knowledge Officer, SkillArbitrage, former in-house counsel and company secretary with over a decade of experience in securities, funds and capital markets",,"https://in.linkedin.com/in/komalshah2","","A","komal-shah-1681904377.jpg","1681904377",
"12","ABHYUDAY AGARWAL","COO and Co-Founder",,"","","A","abhyuday-agarwal-1693568918.jpg","1693568918",
"13","ANUBHAB SARKAR","Partner - Triumvir Law, Ex-JSA, KIIT Law School",,"","","A","anubhab-sarkar-1693568950.jpg","1693568950",
"14","SHALVI MEHTA","Advocate, Saurin Mehta & Associates, Ex-AM Legals, GNLU",,"","","A","shalvi-mehta-1693568980.jpg","1693568980",
"15","SHRUTI KHANIJOW","Principal Associate - Khaitan, Ex-CAM, University of Cambridge",,"","","A","shruti-khanijow-1693569008.jpg","1693569008",
"16","VIGNESH RAJ","Advocate, AKS Partners, Ex-LawSikho, Symbiosis Law School, Pune",,"","","A","vignesh-raj-1693569040.jpg","1693569040",
"17","ASHWINI CHAWLA","Independent Advocate, Ex-AZB, Ex-Khaitan, Ex-Trilegal, NUJS",,"","","A","ashwini-chawla-1693569066.jpg","1693569066",
"18","DIVYA SETH","Dual-licensed lawyer - NY and India, NLU Jodhpur Masters in Law from University of Pennsylvania",,"","","A","divya-seth-1693569099.jpg","1693569099",
"19","PAYOJA GANDHI","Senior Associate, Mankava & Banerjee",,"","","A","payoja-gandhi-1716290252.jpg","1716290252",
"20","UJJAWAL SATSANGI","Advocate, High Court, Allahabad",,"","https://www.linkedin.com/in/ujjawal-satsangi-9aba3644/?originalSubdomain=in","A","ujjawal-satsangi-1716290323.jpg","1716290323",
"21","VISHAKHA GUPTA","Litigator, Former Associate at Trilegal",,"https://www.linkedin.com/in/vishakha-gupta-54775399/","","A","vishakha-gupta-1716290371.jpg","1716290371",
"22","KAREN REA","Karen has been a Barrister for 40 years and presently she works with various healthcare and financial sector Regulators in the capacity of a Legal Adviser/Assessor to Panels/Committees sitting in thei",,"","","A","karen-rea-1727429359.jpg","1727429359",
"23","VATSAL M. PARIKH","Mr. Vatsal M. Parikh is a member of the International Bar Association and several elite International Arbitration Institutions. He is currently working as a Paralegal in the Financial Conduct Authorit",,"","","A","vatsal-m-parikh-1727429379.jpg","1727429379",
"24","Nayan Rawal","IP Attorney, NRALAW",,"linkedin.com/in/rawalnayan/","","A","nayan-rawal-1728557093.jpg","1728557093",
"25","Priyanka Sinnarkar","Deputy Director - Upskilling Course",,"https://www.linkedin.com/in/priyanka-sinnarkar-54501bb8/","","A","priyanka-sinnarkar-1729251032.jpg","1729251032",
"26","Deepak Arora","Course Anchor/ Teaching Department",,"https://www.linkedin.com/in/deepak-arora-826285b6?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app","","A","deepak-arora-1732269567.png","1732269567",
"27","Pranav Bhanot","Pranav Bhanot is the founding partner of WYN Legal, a digital law firm dedicated to resolving legal disputes through access to our on-demand and cost-effective litigators.  Having trained at a firm in",,"https://www.linkedin.com/in/pranavbhanot?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app","","A","pranav-bhanot-1746196142.png","1746196142",
