"id","course_id","module_name","added_date","modified_date","status"
"1","7","CIPP Europe","2022-12-14 05:08:39",\N,"A"
"2","7","CIPP Canada","2022-12-14 05:09:51",\N,"A"
"3","7","CIPP US","2022-12-14 05:10:42",\N,"A"
"4","8","Introduction to Freelancing","2022-12-14 05:44:36",\N,"A"
"5","8","Upwork","2022-12-14 05:45:46",\N,"A"
"6","8","Fiverr","2022-12-14 05:47:35",\N,"A"
"7","8","Tutor Me","2022-12-14 05:48:49",\N,"A"
"8","8","Chegg","2022-12-14 05:49:13","2024-10-25 11:33:02","D"
"9","8","People Per Hour","2022-12-14 05:49:48",\N,"A"
"10","8","Guru","2022-12-14 05:50:10",\N,"A"
"11","8","Pepper Content","2022-12-14 05:50:31",\N,"A"
"12","8","How to use LinkedIn and Twitter to get work directly from social media","2022-12-14 05:50:56",\N,"A"
"13","8","Additional Resources- Recorded sessions","2022-12-14 05:52:16",\N,"A"
"14","9","Introduction to Data Collection, Processing, Protection and transfer","2022-12-14 06:23:24","2023-10-13 07:17:30","A"
"15","9","Data Processing Agreements and related work","2022-12-14 06:25:51",\N,"A"
"16","9","Compliance and Governance requirements","2022-12-14 06:27:40",\N,"A"
"17","9","Data protection disputes and litigation","2022-12-14 06:29:41",\N,"A"
"18","9","Privacy Risk Management","2022-12-14 06:31:10",\N,"A"
"19","9","Data protection legislations in the EU: EU GDPR","2022-12-14 06:32:39",\N,"A"
"20","9","Data protection laws in European Countries","2022-12-14 06:36:03",\N,"A"
"21","9","Data Protection in UK post Brexit","2022-12-14 06:39:25",\N,"A"
"22","9","Data protection laws in the US: Federal and State laws","2022-12-14 06:39:55",\N,"A"
"23","9","Data Protection Law in Canada","2022-12-14 06:40:39",\N,"A"
"24","9","Data Protection Law in South East Asia","2022-12-14 06:41:43",\N,"A"
"25","9","Data Protection Regime: Middle East and India","2022-12-14 06:43:51",\N,"A"
"26","10","Companies Act","2022-12-14 07:19:07",\N,"A"
"27","10","Securities Law","2022-12-14 07:19:42",\N,"A"
"28","10","Basic Accountancy","2022-12-14 07:20:35",\N,"A"
"29","10","GOVERNANCE","2022-12-14 07:21:03",\N,"A"
"30","11","Introduction to SHRM","2022-12-25 01:29:02","2022-12-27 02:39:05","A"
"31","11","Hiring and recruitment","2022-12-25 01:30:37","2022-12-27 02:42:16","A"
"32","11","Onboarding, orientation and support","2022-12-25 01:32:30","2022-12-27 03:10:49","A"
"33","11","Performance management","2022-12-25 01:34:14","2022-12-27 03:18:16","A"
"34","11","Rewards and recognition and retention measures","2022-12-25 01:38:42","2022-12-27 03:20:36","A"
"35","11","How to measure hiring effectiveness","2022-12-27 03:20:47",\N,"A"
"36","11","Compliance & Policies","2022-12-27 03:23:28",\N,"A"
"37","11","How to find international remote work projects around strategic HR","2022-12-27 03:28:55",\N,"A"
"38","12","Introduction to international labour law","2022-12-27 05:39:25",\N,"A"
"39","12","Employer - Labour/ Employee conflict management","2022-12-27 05:40:18",\N,"A"
"40","12","Important documents needed to commence the hiring process","2022-12-27 05:41:24",\N,"A"
"41","12","Employment and labour laws of USA","2022-12-27 05:42:40",\N,"A"
"42","12","Employment and labour laws of UK","2022-12-27 05:45:43",\N,"A"
"43","12","Employment and labour laws of Canada","2022-12-27 05:48:39",\N,"A"
"44","12","Employment and labour laws of UAE","2022-12-27 05:53:35",\N,"A"
"45","12","Employment and labour laws of Singapore","2022-12-27 05:56:32",\N,"A"
"46","13","How to comprehend anti-sexual harassment laws of a new jurisdiction in under 3 hrs","2022-12-28 12:49:53",\N,"A"
"47","13","Statutory framework, rules and regulations pertaining to sexual harassment in USA, UK, UAE, Canada and Singapore","2022-12-28 12:52:00",\N,"A"
"48","13","How to create an anti-sexual harassment compliance blueprint from scratch for a specific country","2022-12-28 12:54:07",\N,"A"
"49","13","How to draft an anti-sexual harassment policy (at global level and at country level)","2022-12-28 12:55:01",\N,"A"
"50","13","Compliance requirements and employer’s responsibility","2022-12-28 12:56:26",\N,"A"
"51","13","Training and certification of employees and management","2022-12-28 12:57:44",\N,"A"
"52","13","What is the process after a SH complaint comes into your notice (with country specific provisions)","2022-12-28 12:58:31",\N,"A"
"53","13","Media and reputation management of the organisation if the matter comes in limelightHow to perform periodic sexual harassment audits to evaluate the organisation’s effectiveness with compliance","2022-12-28 01:02:01",\N,"A"
"54","14","SCOPE OF THE COURSE, LABOUR LAW TOOLS AND COMPLIANCE FUNDAMENTALS","2022-12-28 02:01:52",\N,"A"
"55","14","Types of contracts with workforce and organizational policies","2022-12-28 02:04:27",\N,"A"
"56","14","LAWS REGULATING REMUNERATION, MISCONDUCT AND TERMINATION","2022-12-28 02:08:04",\N,"A"
"57","14","DISCIPLINARY PROCEEDINGS","2022-12-28 02:10:33",\N,"A"
"58","14","LABOUR LAWS APPLICABLE TO MANUFACTURING SECTOR AND SERVICE SECTOR","2022-12-28 02:12:39",\N,"A"
"59","14","LABOUR WELFARE, EMPLOYMENT BENEFITS & RELATED COMPLIANCES","2022-12-28 02:15:22",\N,"A"
"60","14","TRADE UNIONS, LABOUR-MANAGEMENT DISPUTES AND COLLECTIVE BARGAINING","2022-12-28 02:17:05",\N,"A"
"61","14","LEGAL PROCEEDINGS, GOVERNMENT INSPECTIONS AND RAIDS","2022-12-28 02:18:46",\N,"A"
"62","14","PREVENTION OF SEXUAL HARASSMENT AT WORKPLACE","2022-12-28 02:20:10",\N,"A"
"63","14","PRINCIPLES OF PROFESSIONAL PRACTICE AND KNOWLEDGE MANAGEMENT","2022-12-28 02:22:31",\N,"A"
"64","16","CONCEPT AND FRAMEWORK OF CORPORATE GOVERNANCE","2023-01-11 01:21:19",\N,"A"
"65","16","BOARD EFFECTIVENESS, ETHICS AND GOVERNANCE","2023-01-11 01:22:07",\N,"A"
"66","16","HOW TO OBTAIN INFORMATION ABOUT A COMPANY","2023-01-11 01:25:37",\N,"A"
"67","16","DIRECTORS AND KEY MANAGERIAL PERSONNEL & THEIR LIABILITY","2023-01-11 01:27:25",\N,"A"
"68","16","LIABILITY OF DIRECTORS","2023-01-11 01:31:24",\N,"A"
"69","16","INTER-CORPORATE TRANSACTIONS AND RPTS","2023-01-11 01:32:18",\N,"A"
"70","16","CAPITAL MARKETS AND SHARE RELATED DEALINGS","2023-01-11 01:34:28",\N,"A"
"71","16","SEBI REGULATIONS APPLICABLE TO LISTED ENTITIES","2023-01-11 01:36:26",\N,"A"
"72","16","ROLE OF AUDITORS AND CORPORATE FRAUD","2023-01-11 01:39:41",\N,"A"
"73","17","How to create winning client proposals for international clients","2023-01-28 01:01:28",\N,"A"
"74","17","How to impress a recruiter/ CTO / prospective client in an interview","2023-01-28 01:03:51",\N,"A"
"75","17","How to conduct yourself like a master in a project kickoff meeting","2023-01-28 01:07:16",\N,"A"
"76","17","Gathering requirements for a complex project with many different stakeholders in different countries","2023-01-28 01:10:56",\N,"A"
"77","17","Expectation-setting with clients and seniors","2023-01-28 01:14:49",\N,"A"
"78","17","How to propose your idea in meetings, brainstorming sessions, and strategic discussions even when it is a work-in-progress","2023-01-28 01:19:06",\N,"A"
"79","17","How to lead/conduct and participate in daily stand-ups and other meetings with your teams like a startup CEO","2023-01-28 01:22:57",\N,"A"
"80","17","Managing up: How to keep your client/senior onboard and inspired through the journey of your delivery cycle until delivery (and after)","2023-01-28 01:24:14",\N,"A"
"81","17","How to write effective reports and make effective presentations","2023-01-28 01:25:35","2023-01-28 02:33:31","A"
"82","17","How to write high quality documents and clearly understandable comments for your code","2023-01-28 01:26:12","2023-01-28 02:32:39","A"
"83","17","How to deal with last minute change requests in a way that solves the problem","2023-01-28 01:26:55","2023-01-28 01:28:50","A"
"84","17","How to say no and decline requests without being rude and preserve your honour and integrity","2023-01-28 01:29:04",\N,"A"
"85","17","How to identify hidden assumptions and biases that business teams may operate from and point them out in a constructive way","2023-01-28 01:33:19",\N,"A"
"86","17","Why you need to be a champion of correct and user-friendly English for every product release to stand out and get projects","2023-01-28 01:35:16",\N,"A"
"87","17","Negotiation and persuasion strategies that exponentially increase your effectiveness, client and team satisfaction whether you are a freelancer or a corporate employee at any level","2023-01-28 01:37:33",\N,"A"
"88","17","How to resolve disputes and conflicts within your team or with clients","2023-01-28 01:40:52",\N,"A"
"89","17","How to deliver product pitches and conversations to build your brand, raise investments and convert high-potential clients","2023-01-28 01:42:20",\N,"A"
"90","17","Giving and taking feedback from your team","2023-01-28 01:44:37",\N,"A"
"91","17","Bonus practice assignments","2023-01-28 01:47:45",\N,"A"
"92","18","Developing a Privacy Program for example policies","2023-02-19 04:13:27",\N,"A"
"93","18","Privacy Program Framework for example stakeholder discussions","2023-02-19 04:14:20",\N,"A"
"94","18","Develop Appropriate Metrics","2023-02-19 04:15:14",\N,"A"
"95","18","Privacy Operational Life Cycle: Assess for example awareness trainings","2023-02-19 04:16:08",\N,"A"
"96","18","Privacy Operational Life Cycle: Protect for example ensuring technical measures","2023-02-19 04:17:55",\N,"A"
"97","18","Privacy Operational Life Cycle: Sustain for example compliance audits","2023-02-19 04:18:29",\N,"A"
"98","18","Privacy Operational Life Cycle: Respond for example Data Breach Mgmt","2023-02-19 04:19:27","2023-02-19 04:20:25","A"
"99","20","Exploring the AI Landscape: Introduction to Artificial Intelligence","2023-03-23 02:48:45","2023-07-22 04:14:22","D"
"100","20","How to use ChatGPT for various use cases- with in-class and take home practice assignments","2023-03-23 02:50:23","2023-07-22 04:14:26","D"
"101","20","How to make awesome presentations","2023-03-23 02:54:07","2023-07-22 04:14:31","D"
"102","20","How to use Perplexity.AI","2023-03-23 02:54:49","2023-07-22 04:14:36","D"
"103","20","How to use generative AI tools Playform and Dall-E2 for artwork and graphics","2023-03-23 02:55:16","2023-07-22 04:14:41","D"
"104","20","How to write marketing copy, product description, LinkedIn headlines, Instagram Captions using PicsArt AI Writer and Notion AI","2023-03-23 02:56:52","2023-07-22 04:14:15","D"
"105","20","How to use Riffusion and Boomy for creating music","2023-03-23 02:57:53","2023-07-22 04:14:10","D"
"108","22","How to use internationally accepted accounting softwares like Quickbooks, Xero, Wave and Zoho Books for book-keeping, accounting and reporting","2023-04-19 02:50:15",\N,"A"
"109","22","How to transition to prepare financial statements as per US GAAP for Indian graduates, students and accountants","2023-04-19 02:52:21",\N,"A"
"110","22","Disclosures of financial Statements under US GAAP","2023-04-19 02:53:36",\N,"A"
"111","22","Principles of accounting for assets under US GAAP","2023-04-19 02:54:10",\N,"A"
"112","22","Principles of accounting for liabilities","2023-04-19 02:55:55",\N,"A"
"113","22","Revenue Recognition under US GAAP (vs. IFRS and IndAS)","2023-04-19 02:57:19",\N,"A"
"114","22","Expense Recognition under US GAAP (vs. IFRS and IndAS)","2023-04-19 02:57:51",\N,"A"
