"id","type_of_course","course_name","course_short_name","url_mask","enrollment_close_date","course_fee","course_duration","is_installment_facility","class_routine","is_new","is_featured","lms_course_id","status","exit_intent_id","old_pid","old_id","discarded","added_date","modified_date","mailchimp_interest_id","hide_from_list","show_new_refund_policy","new_refund_policy","refund_policy_tagline","show_freedownload_msg","freedownload_msg","show_freedownload_succ_msg","freedownload_succ_msg","is_new_welcome_email","new_welcome_email","freedownload_vdo_cnt","duration_type","show_type","time_interval","popup_id","ap_id","show_join_the_waitlist_msg","join_the_waitlist_msg","show_join_the_waitlist_succ_msg","join_the_waitlist_succ_msg","banner_short_information","show_govt_logo_cap","tags","ap_course_cat_id","welcome_call_required","payment_gateway","location_short_name","type_of_course_sec","show_govt_medhavi_logo"
"142","3","(6 months) Executive Certificate Course in how to automate HR function using AI","automate HR function using AI","6-months-executive-certificate-course-in-how-to-automate-hr-function-using-ai","2026-08-20 16:13:00","66000","6","N","8-10 hours/week","Y","Y",,"A","0",,,"N","2026-08-21 16:15:17","2026-08-21 18:08:12",,"N","Y","","","N","","N","","N","","","month","T","0","0","310","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","2","1"
"141","2","Advanced Program in Algorithmic Trading and Low Latency Systems","Algorithmic Trading and Low Latency Systems","advanced-program-in-algorithmic-trading-and-low-latency-systems","2026-08-15 09:58:00","66000","6","N","8-10 hours/week","Y","N",,"A","0",,,"N","2026-08-16 09:59:12","2026-08-16 10:08:11",,"N","Y","","","N","","N","","N","","","month","T","0","0","309","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","1"
"140","2","Advanced Program in Quantitative Finance and AI Applications","Quantitative Finance and AI Applications","advanced-program-in-quantitative-finance-and-ai-applications","2026-08-15 09:44:00","66000","6","N","8-10 hours/week","Y","N",,"A","0",,,"N","2026-08-16 09:46:18","2026-08-16 10:08:18",,"N","Y","","","N","","N","","N","","","month","T","0","0","308","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","1"
"139","2","iHub, IIT Roorkee & SkillArbitrage jointly present: Executive Certificate in Quantitative Finance & Intelligent Trading Systems","Quantitative Finance & Trading Systems","ihub-iit-roorkee-and-skillarbitrage-3","2026-08-04 17:14:00","1,55,000 + GST","6","N","12-15 hours/week","N","N",,"A","0",,,"N","2026-08-10 17:15:03","2026-08-13 16:08:54",,"N","Y","","","N","","N","","N","","","month","T","0","0","307","N","","N","","","N","iHub DivyaSampark@IIT","10","Y","Cashfree","IN","3","0"
"138","2","iHub, IIT Roorkee & SkillArbitrage jointly present: Executive Certificate in Low-Latency Systems Engineering for High-Frequency Trading","Algorithmic & High-Frequency Trading","ihub-iit-roorkee-and-skillarbitrage-2","2026-07-01 20:10:00","INR 1,55,000/- + GST","6","N","15-18 hours/week","Y","N",,"A","0",,,"N","2026-08-02 20:12:52","2026-08-13 16:08:14",,"Y","N","","","N","","N","","N","","","month","T","0","0","306","N","","N","","","N","iHub DivyaSampark@IIT","10","Y","Cashfree","IN","3","0"
"137","13","Executive Certification in E-Commerce Accounting & Financial Operations for Global Businesses","E-Commerce Accounting","executive-certification-in-e-commerce-accounting--financial-operations-for-global-businesses","2026-01-14 13:52:00","60000","3","N","8-10 hours/week","Y","N",,"A","204",,,"N","2026-02-01 13:53:33","2026-02-01 14:02:04",,"N","Y","","","N","","N","","N","","","month","T","0","0","305","N","","N","","","N","Remote International Work","11","Y","Cashfree","IN","3","0"
"136","2","iHub, IIT Roorkee & SkillArbitrage jointly present: Executive Certification in Financial and Accounting Automation","IIT-Financial and Accounting Automation","ihub-iit-roorkee--skillarbitrage-jointly-present-executive-certification-in-financial-and-accounting-automation","2026-08-15 23:59:00","1,55,000/- + GST","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-12-18 13:57:26","2026-08-10 12:08:51",,"N","N","","","N","","N","","N","","","month","T","0","0","304","N","","N","","","N","iHub DivyaSampark@IIT","10","Y","Cashfree","IN",,"0"
"135","13","Executive Certificate in Equity Analysis & Merchant Banking Operations","Equity Analysis & Merchant Banking Operations","executive-certificate-in-equity-analysis--merchant-banking-operations","2025-11-01 13:15:00","75000","6","N","8-10 hours/week","Y","N",,"A","204",,,"N","2025-11-28 11:25:50","2026-01-22 18:01:43",,"N","Y","","","N","","N","","N","","","month","T","0","0","303","N","","N","","","N","Remote International Work","10","Y","Cashfree","IN","3","0"
"134","2","iHub, IIT Roorkee & SkillArbitrage jointly present: Executive Certification in Applied Investment Banking, Fundraising & Deal Advisory","Applied Investment Banking","ihub-iit-roorkee--skillarbitrage-jointly-present-executive-certification-in-applied-investment-banking-fundraising--deal-advisory","2025-11-01 13:15:00","1,55,000 + GST","6","N","10-12 hours/week","Y","N",,"A","204",,,"N","2025-11-28 10:57:32","2026-07-02 17:07:05",,"N","Y","","","N","","N","","N","","","month","T","0","0","302","N","","N","","Transform yourself into a complete corporate finance and investment banking professional—equipped with skills that top companies value, pay premium salaries for, and actively recruit.","N","iHub DivyaSampark@IIT","10","Y","Cashfree","IN","3","0"
"133","2","iHub, IIT Roorkee & SkillArbitrage jointly present:  Executive Certificate in AI-Powered Research Automation, Publication Management & Policy Analysis","IIT - AI-Powered Research Automation","ihub-divyasampark-iit-roorkee--skillarbitrage-jointly-present--executive-certificate-in-ai-powered-research-automation-publication-management--policy-analysis","2025-11-18 18:16:00","1,55,000 + GST","6","N","6-8 hrs/week","Y","N",,"A","204",,,"N","2025-11-19 18:17:40","2026-07-02 17:07:25",,"N","N","","","N","","N","","N","","","month","T","0","0","301","N","","N","","","N","iHub DivyaSampark@IIT","10","Y","Cashfree","IN","3","0"
