"id","course_id","banner_name","image_name","show_syllabus","show_enroll_now","show_refund_policy","show_enroll_close_date","show_free_download","status","banner_type","use_as_listing","banner_listing","added_date","modified_date","infographic_value"
"1","1","banner","6bd68e55659786f6cd297d48b94e7d2b.jpg","Y","Y","Y","N","Y","A","primary",,"012c307e57b9c1db747a74b82ca21a0f.jpg","2022-12-09 18:08:09","2022-12-09 21:12:05","[{""infogra_key"":""Test"",""infogra_val"":""Test"",""infogra_image"":""technologyindustry15757521334040_1670600165.jpg""}]"
"2","1","banner",,"N","N","N","N","Y","A",,,,"2022-12-09 18:06:42",,
"3","2","Banner","b62d17db88842aac67aa632da9037bf7.jpeg","N","Y","N","Y","N","A","primary",,"","2022-12-09 19:02:31","2022-12-13 17:12:50",
"4","3","Banner","753d6ff316f838bacaf46eac71648b31.jpg","Y","Y","Y","Y","Y","A","primary",,"","2022-12-09 19:07:00","2026-08-21 14:08:31",
"5","4","Banner","305da4b0eed31dd5be492117f64274bf.jpg","N","Y","N","Y","Y","A","primary",,"423cb8f0f85d36d47b64ba8a5c105124.jpeg","2022-12-13 12:50:02","2022-12-13 13:12:16","[{""infogra_key"":""Test"",""infogra_val"":""Test"",""infogra_image"":""1573224949----1582634786_1670919921.jpg""}]"
"6","5","Banner","f26f8c6c3961c09e2a0db46a1202d641.jpg","N","N","N","N","Y","A","primary",,"9f1624b69bbf52b133e8d013b0adc415.jpg","2022-12-13 14:42:34","2022-12-27 18:12:48",
"7","6","Banner","a0f376224e5fd33aebca58869fa8ec7e.jpg","Y","Y","Y","Y","Y","A","primary",,"","2022-12-14 16:21:40","2026-08-21 14:08:13",
"8","7","Banner","2cfcdde228aaf13d497e7baa2a8cc5d9.jpeg","Y","Y","Y","N","N","A","primary",,"","2022-12-14 16:51:38","2022-12-14 17:12:17",
"9","8","Banner","3327b26553b76fcf866fac8a016e36b9.jpeg","Y","Y","Y","Y","N","A","primary",,"","2022-12-14 17:30:56","2026-08-11 13:08:25",
"10","9","Banner","b8e2845babb49384f0d331815bac2ab3.jpg","Y","Y","Y","N","N","A","primary",,"","2022-12-14 18:09:19","2022-12-14 18:12:55",
"11","10","Banner","41fcb6fa728916362b97efd67141916e.jpg","Y","Y","Y","N","N","A","primary",,"","2022-12-14 19:00:59","2022-12-14 19:12:38",
"12","11","Banner","280507edea01d621df53a2cf13a376f8.jpg","Y","Y","Y","Y","N","A","primary",,"","2022-12-25 13:05:19","2022-12-25 13:12:41",
"13","12","Banner","e713be61f9a16590e1cfc699eb1bece9.jpg","Y","Y","Y","Y","N","A","primary",,"","2022-12-27 17:32:09","2022-12-27 20:12:49",
"14","13","Banner","5d87145cdc6eef9d6f2773d2a730feb6.jpg","Y","Y","Y","Y","N","A","primary",,"","2022-12-28 12:44:12","2022-12-28 13:12:12",
"15","14","Banner","1a3deeb093af6a5581634d1b5aced458.jpg","Y","Y","Y","Y","N","A","primary",,"","2022-12-28 13:22:17","2023-01-05 11:01:36",
"16","15","Banner","","N","Y","N","N","Y","A","primary",,"","2023-01-04 11:32:27","2023-01-04 16:01:46",
"17","16","Banner","5cc236c6610ae7e4fcbd06261a44e15b.jpg","Y","Y","Y","Y","Y","A","primary",,"","2023-01-11 13:03:47","2026-08-21 13:08:21",
"18","17","Banner","d008dfab3354bc2a42d7097f697add22.jpeg","Y","Y","Y","Y","N","A","primary",,"","2023-01-28 12:51:05","2023-01-28 14:01:22",
"19","18","Banner","724c8fc9806fb9cd7a0da81b6d697c3f.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-02-19 15:54:23","2023-02-19 16:02:30",
"20","19","Banner","abe9e54a94a7e898de69655697807ed2.jpg","N","Y","Y","Y","N","A","primary",,"","2023-03-16 17:09:11","2023-03-16 17:03:32",
"21","20","Banner","f139286e4c01baad39dff987cc9fc422.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-03-23 12:42:56","2023-03-23 14:03:50",
"22","21","Banner",,"N","N","N","N","Y","A",,,,"2023-04-10 18:59:43",,
"23","22","Banner","430af391f36d3f6df4b6ee147d7e4569.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-04-19 13:57:20","2023-04-19 15:04:40",
"24","23","Banner","92e608cc62fd5bb72085590a03a50b05.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-04-19 15:44:58","2023-04-19 16:04:22",
"25","24","Banner","fa643f33dd64530d9820469540470582.jpg","Y","Y","Y","Y","Y","A","primary",,"","2023-04-19 16:57:51","2026-08-21 14:08:28",
"26","25","Banner","53b15a10e5a1ef0ab038c2ac2744baff.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-04-20 12:23:34","2023-04-20 13:04:19",
"27","26","Banner","11d8ea66eed06569311a12cbf971839a.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-04-28 20:04:45","2023-04-28 20:04:42",
"28","27","Banner","ead5ab94a348b9a9a267caf6a8171413.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-05-20 13:30:23","2023-05-20 14:05:17",
"29","28","Banner","b3a73b906ab1f8f77c81c92409e8a6ff.jpg","Y","Y","Y","Y","N","A","primary",,"","2023-05-21 12:12:52","2023-05-21 12:05:21",
"30","29","Banner","8ca4eb389699b4bea4bba2055ce93597.jpg","N","Y","N","Y","Y","A","primary",,"179a05743fce3a48e96c46b345788239.jpg","2023-06-08 20:13:33","2026-08-08 15:08:52","[{""infogra_key"":""Test"",""infogra_val"":""Test"",""infogra_image"":""1573224949----1582634786_1686235688.jpg""},{""infogra_key"":""Testing2"",""infogra_val"":""Testing Info"",""infogra_image"":""logo1_1759909144.jpg""}]"
"31","30","Banner","c78122aae189327b81fc10e4c27602ef.jpg","Y","Y","Y","Y","Y","A","primary",,"","2023-08-03 16:55:45","2026-08-21 14:08:11",
