"id","course_type_name","status","added_date","modified_date","display_position"
"1","Diploma Programme","A","1554878951",,"3"
"2","Certificate Programme","A","1554878951",,"8"
"3","Executive Certificate Course (Live Classes)","A","1554878951",,"4"
"4","Bootcamp","A","1554878951",,"9"
"5","Test Preparation","A","1554878951",,"6"
"6","Skill Development","A","1554878951",,"12"
"7","Micro Programme","A","1554878951",,"10"
"8","Library","A","1554878951",,"7"
"10","Workshop","A","1554878951",,"11"
"11","Introductory Courses","A","1554878951",,"5"
"12","International University Accredited Courses","A","1554878951",,"2"
"13","Courses For Remote International Work","A","1554878591",,"1"
